"Protein IDs","Gene Names","t-test P2-Adh Difference","t test P2 Adh p value","t-test Difference_P5-Adh","t-test p value_P5-Adh"
O75306;B7Z9L2;F5H5P7,NDUFS2,0.57,0.00226,NA,NA
O75323;C9IYJ3;C9K068;C9J7B1;F8WBI5,GBAS;NIPSNAP2;hCG_18231,NA,NA,1.1,0.00277
O75340;Q2YDC2;H0Y9N1;H0Y9X3;E7EPW6;E7ESR3,ALG2;PDCD6;hCG_1985580,0.86,0.00342,NA,NA
O75363;O75363-2;G3XAF7;H0Y542;E7EPR8;B4DFL4;B4E2C4,AIBC1;BCAS1;NABC1,NA,NA,-3.55,0.00311
O75367;O75367-3;O75367-2;B4DJC3;D6RCF2,H2AFY;MACROH2A1,11.31,0.000132,NA,NA
O75368,SH3BGRL,NA,NA,-1.19,0.0036
O75381;O75381-2;F5H4J2,PEX14,9.02,4.07E-05,NA,NA
O75400;F8W9L2;O75400-3;O75400-2;E9PHJ7;F5H578;H0YG38,FBP11;FLAF1;FNBP3;HIP10;HSPC225;HYPA;PRPF40A,NA,NA,1.03,0.00143
O75439;G3V0E4;E7ERZ4;B3KQ85;F8WAZ6;F8WBE1;F8WEA6,MPPB;PMPCB,NA,NA,0.67,0.00645
O75489;E9PS48;B4DFM8;G3V194;E9PKL8,NDUFS3,0.72,0.00263,NA,NA
O75521;O75521-2;C9J000;C9JB63;F1LLU7;F8W6J1;F8WAW4,DRS1;HCA88;PECI,-0.6,0.00238,-0.5,0.00138
O75533;B4DGZ4;E9PCH3;F8WC19,SAP155;SF3B1,0.99,0.00587,1.04,0.00334
O75643;F5H447;C9JAQ9;O75643-2;F5H4C1;A2RRQ7;B4E0P5,ASCC3L1;HELIC2;KIAA0788;SNRNP200,1.3,0.000374,1.28,0.000307
O75694;B4DLT2;E9PF10;D6RA13,KIAA0791;NUP155,NA,NA,1.45,0.000715
O75821,EIF3G;EIF3S4,-0.47,0.00195,-0.45,0.00323
O75874;C9J4N6;C9JLU6;C9JJE5,IDH1;PICD,-0.64,0.00137,-0.87,0.00458
O75955;B0V109;B4DVY7;F8VSI6;A2AB09;B0V111;A2AB10;A2AB12;B0S8A9;B0V110;B0V112;B0V2I8;A2AB11;A2AB13;B0V2J0;B0V113;B0V114;H0Y4S3;A2ABJ5;B0V108;B0S8B0,FLOT1;DAMC-316D20.3-001;DADB-118P11.2-008;DAQB-47P19.1-008;DASS-191K16.3-008;XXbac-BCX111D4.4-008;XXbac-BPG252P9.2-008;DAMC-316D20.3-008;DADB-118P11.2-006;DAQB-47P19.1-006;DASS-191K16.3-006;XXbac-BCX111D4.4-006;XXbac-BPG252P9.2-006;DADB-118P11.2-009;DAQB-47P19.1-009;DASS-191K16.3-009;XXbac-BCX111D4.4-009;XXbac-BPG252P9.2-009;DAMA-26D6.5-001;DAMC-316D20.3-006;DAMC-316D20.3-009,0.81,0.00227,NA,NA
O76031;Q9H072;H0YN08;H0YM48;H0YK07,CLPX;DKFZp586J151,0.81,0.00131,NA,NA
O76062;F5GYV3;O76062-2;E9PLS9;E9PS18;H0YEN6,ANG1;TM7SF2,-7.86,6.48E-06,-8,7.63E-06
O76094;H0YH39;G5E9Z8;D6RDY6,SRP72,NA,NA,-0.6,0.00177
O94760;B4DGT0;B4DYP1;Q5HYC8,DDAH;DDAH1;DKFZp686N2176;hCG_2040048,NA,NA,-1.42,0.00317
O94826;B4DZ87,KIAA0719;TOMM70A,NA,NA,0.55,0.00691
O94874;O94874-2;O94874-3,KIAA0776;UFL1,0.61,0.00452,NA,NA
O94906;O94906-2,C20orf14;PRPF6,1.16,0.000973,1.38,0.000303
O94925-3;B8ZZA8;B8ZZC5,,1.54,0.00622,NA,NA
