Accession,Gene,114:113,"PVal 114:113",115:113,"PVal 115:113",116:113,"PVal 116:113",117:113,"PVal 117:113",118:113,"PVal 118:113",119:113,"PVal 119:113",121:113,"PVal 121:113"
O94905,ERLIN2,1.228,0.0617,1.193,0.2513,1.088,0.5925,1.98,0.0064,1.504,0.0197,1.658,0.01,1.566,0.0202
Q96SI9,STRBP,0.868,0.0396,0.467,0.0114,1.012,0.8449,0.339,0.0732,0.343,0.0455,0.296,0.0587,0.32,0.0577
B7Z3X9,-,0.932,0.4613,1.067,0.695,1.013,0.8829,2.46,0.0116,1.903,0.0195,1.861,0.0343,2.149,0.0162
Q9Y5J1,UTP18,0.612,0.0485,0.603,0.0355,0.655,0.0103,1.131,0.0074,1.208,0.0876,1.049,0.5413,1.206,0.0151
B4DT11,-,1.064,0.2929,0.722,0.0315,0.847,0.0566,0.528,0.0433,0.515,0.0272,0.548,0.0427,0.544,0.0222
P24534,EEF1B2,0.768,0.2768,0.587,0.0573,0.863,0.2264,0.148,0.0393,0.165,0.054,0.136,0.0417,0.159,0.038
Q59GW7,-,0.71,0.0666,0.794,0.0327,0.607,0.0072,2.039,0.1799,1.845,0.2092,1.791,0.2119,1.843,0.1859
P62937,PPIA,1.935,0.0023,1.71,0.0105,1.578,0.026,1.305,0.1995,3.84,0.0002,2.681,0.0011,1.719,0.0113
Q9Y4W2,LAS1L,0.562,0.0015,0.633,0.1692,0.717,0.0312,1.076,0.3983,1.122,0.2001,0.901,0.3951,1.098,0.3924
Q9NS86,LANCL2,1.587,0.0481,1.02,0.8715,1.766,0.0292,0.473,0.0224,0.589,0.0741,0.641,0.062,0.63,0.0632
Q9Y3L3,SH3BP1,0.707,0.007,0.714,0.0178,0.968,0.2967,0.584,0.3678,0.46,0.1812,0.436,0.1823,0.508,0.1605
A8K1B6,-,1.499,0.03,1.145,0.2789,1.131,0.0747,1.079,0.8106,1.571,0.3877,1.263,0.5607,1.273,0.4729
P08621,SNRNP70,0.741,0.5407,0.666,0.4259,0.965,0.904,0.659,0.0244,0.507,0.0008,0.597,0.0625,0.77,0.3803
Q96ST3,SIN3A,0.966,0.8884,1.046,0.7638,1.095,0.5551,0.569,0.0222,0.549,0.0128,0.615,0.0285,0.606,0.019
Q6PJJ2,RRP1,0.574,0.0276,0.498,0.0201,0.625,0.0142,1.122,0.2711,1.234,0.0796,0.941,0.531,1.249,0.0042
Q15021,NCAPD2,0.631,0.1179,0.567,0.0317,0.614,0.003,1.186,0.2591,0.798,0.0122,0.646,0.0332,0.682,0.2001
Q14966,ZNF638,1.206,0.1581,0.984,0.8586,1.09,0.1361,0.61,0.0222,0.723,0.0284,0.705,0.0242,0.653,0.0284
Q9Y2P8,RCL1,1.053,0.4395,0.838,0.1676,1.049,0.676,0.797,0.0245,0.963,0.7004,0.851,0.0059,0.765,0.0394
P98179,RBM3,0.544,0.0344,0.436,0.1064,1.322,0.3867,0.19,0.0394,0.192,0.0332,0.162,0.0219,0.148,0.0532
Q9Y224,C14orf166,0.951,0.3573,0.857,0.0377,0.929,0.3291,0.659,0.021,0.614,0.0816,0.621,0.0268,0.708,0.028
Q5VV89,MGST3,0.912,0.2881,1.245,0.0523,1.224,0.0259,1.87,0.0162,1.359,0.1281,1.554,0.0803,1.622,0.0467
O60216,RAD21,0.9,0.6165,0.653,0.123,0.576,0.1235,0.579,0.102,0.564,0.0291,0.459,0.0578,0.544,0.0619
A8K7N0,-,0.643,0.1101,0.734,0.3438,0.705,0.0434,1.663,0.0011,1.488,0.0302,1.432,0.029,1.563,0.0009
P26196,DDX6,1.012,0.9082,1.269,0.2001,1.247,0.0267,0.884,0.3319,0.928,0.4079,1.123,0.2577,0.962,0.7768
P35251,RFC1,1.003,0.974,0.945,0.656,0.843,0.0459,0.999,0.9939,0.987,0.947,0.897,0.6895,0.997,0.9875
Q5U0C0,RPL15,0.67,0.088,0.548,0.0688,0.59,0.0474,1.529,0.2276,1.343,0.2732,1.389,0.3036,1.265,0.3247
Q96QD9,FYTTD1,0.785,0.0012,0.564,0.309,1.063,0.2367,0.787,0.5437,0.72,0.4055,0.706,0.3725,0.806,0.1663
Q53GF9,-,0.991,0.986,1.493,0.4882,1.157,0.4304,2.203,0.061,1.642,0.2148,2.271,0.0042,2.13,0.0677
O43684,BUB3,1.003,0.9517,0.818,0.0164,0.997,0.3433,0.588,0.1712,0.499,0.1249,0.477,0.0833,0.53,0.0696
O94842,TOX4,0.903,0.1915,1.006,0.9604,1.297,0.049,0.404,0.0217,0.4,0.0336,0.426,0.0562,0.437,0.0222
B3KQJ0,-,0.865,0.3363,0.937,0.6852,0.846,0.1798,1.848,0.069,2.047,0.0795,2.26,0.0419,2.247,0.0224
P61964,WDR5,1.038,0.4781,1.1,0.3527,1.123,0.2821,0.656,0.0556,0.663,0.0759,0.714,0.0693,0.653,0.0356
P19013,KRT4,1.518,0.0211,1.444,0.013,1.04,0.7787,3.452,0.0063,2.275,0.0047,1.843,0.0075,2.079,0.0199
Q6FHZ0,MDH2,1.16,0.2804,1.157,0.2337,1.144,0.115,0.534,0.0039,0.63,0.0241,0.667,0.0498,0.594,0.0224
Q5BKZ2,KPNA1,0.811,0.0423,0.624,0.0198,0.861,0.0872,0.591,0.0149,0.632,0.0041,0.52,0.0036,0.576,0.0051
Q96DA6,DNAJC19,0.766,0.1437,0.801,0.3039,0.726,0.0821,2.212,0.0023,1.348,0.0336,1.478,0.0033,1.445,0.0638
Q9Y6M1,IGF2BP2,0.745,0.0235,0.761,0.1694,1.011,0.8032,0.214,0.0034,0.255,0.0021,0.241,0.0006,0.246,0.0017
C9JJX7,RPP30,1.041,0.7716,0.932,0.7294,1.112,0.1735,0.609,0.0296,0.647,0.0148,0.858,0.126,0.846,0.1915
C9IYS7,CPSF3L,1.116,0.3956,0.888,0.4821,1.306,0.0295,0.623,0.0477,0.762,0.0732,0.703,0.0038,0.755,0.0642
Q96PU8,QKI,1.102,0.3611,0.903,0.5647,1.341,0.0342,0.416,0.0259,0.423,0.019,0.388,0.0069,0.44,0.0195
Q9BXY0,MAK16,0.519,0.0095,0.505,0.0177,0.577,0.0829,1.188,0.6629,1.472,0.3932,1.168,0.7031,1.332,0.4495
Q53XC0,EIF2S1,0.76,0.5285,0.806,0.0511,0.687,0.0735,0.556,0.019,0.414,0.0581,0.404,0.0301,0.425,0.0555
P49750,YLPM1,0.876,0.4194,0.584,0.0119,1.157,0.529,0.275,0.0487,0.267,0.0856,0.217,0.0654,0.311,0.0851
O95071,UBR5,0.877,0.3953,0.775,0.2161,0.869,0.0286,0.911,0.0783,0.844,0.2089,0.91,0.327,0.843,0.0369
Q9HD45,TM9SF3,0.879,0.3737,1.464,0.0856,1.05,0.7416,2.081,0.0743,1.54,0.2838,2.13,0.0353,2.254,0.0668
P07237,P4HB,2.353,0.0032,2.38,0.0019,3.764,0.0072,0.722,0.2381,0.942,0.6316,1.042,0.7473,0.907,0.5027
Q6NSJ5,LRRC8E,1.192,0.2406,1.357,0.0833,1.038,0.6982,1.475,0.0738,1.446,0.0165,1.346,0.0324,1.956,0.1505
O15027,SEC16A,0.924,0.6095,1.275,0.0437,1.087,0.7841,0.922,0.8053,0.894,0.8535,0.849,0.5965,1,0.999
Q6P1X5,TAF2,0.927,0.6011,0.796,0.0581,0.876,0.0776,0.629,0.0481,0.687,0.0229,0.684,0.0021,0.643,0.0131
Q9BX83,HBA1,1.265,0.0126,1.305,0.3025,1.062,0.13,2.442,0.13,6.274,0.0466,4.354,0.0428,2.965,0.0633
Q96JB5,CDK5RAP3,0.629,0.009,0.905,0.1787,0.811,0.026,1.983,0.0457,1.217,0.2987,1.473,0.1004,1.736,0.0825
Q8N5A0,EIF5B,0.686,0.424,0.67,0.1777,0.781,0.371,0.599,0.0505,0.538,0.0524,0.467,0.0797,0.529,0.0046
Q13330,MTA1,0.758,0.0129,0.667,0.0253,1.083,0.068,0.414,0.0029,0.406,0.0029,0.395,0.0004,0.418,0.0117
Q9Y2A7,NCKAP1,1.178,0.0445,1.618,0.0071,1.29,0.0029,0.951,0.7231,0.969,0.8176,1.252,0.1594,0.937,0.6194
A2ABB9,TAPBP,1.09,0.3863,1.396,0.0297,1.13,0.004,3.049,0.0096,3.289,0.011,6.299,0.0051,4.828,0.0066
Q9BUN8,DERL1,1.104,0.8075,1.394,0.5265,1.033,0.8284,2.627,0.0181,1.916,0.0084,2.048,0.014,2.227,0.0123
Q9NR56,MBNL1,0.989,0.9526,0.828,0.0655,1.386,0.1016,0.464,0.0302,0.406,0.0488,0.439,0.0008,0.43,0.0539
P61353,RPL27,0.565,0.0442,0.555,0.0459,0.656,0.0673,1.334,0.2938,1.04,0.9035,1.1,0.6906,1.133,0.6468
Q9UQ35,SRRM2,1.014,0.9041,0.694,0.027,1.116,0.0847,0.946,0.6593,0.815,0.1971,0.856,0.3672,1.01,0.9397
P20592,MX2,1.091,0.0694,1.289,0.0577,1.256,0.0515,1.396,0.4182,1.292,0.4465,2.023,0.1314,4.674,0.0226
P53582,METAP1,0.833,0.4506,0.789,0.5093,0.816,0.4416,0.562,0.0266,0.499,0.0474,0.497,0.0617,0.58,0.0776
Q15853,USF2,0.934,0.6822,0.898,0.7316,0.965,0.7286,0.253,0.0184,0.257,0.0399,0.252,0.0258,0.255,0.0273
Q13601,KRR1,0.88,0.5914,0.586,0.0277,0.629,0.0002,1.001,0.9926,1.041,0.7593,0.972,0.7562,1.128,0.3232
Q9UBD5,ORC3L,0.923,0.5,0.973,0.878,0.833,0.2606,0.997,0.949,0.989,0.7105,0.861,0.0309,0.936,0.0061
Q15120,PDK3,1.418,0.0202,1.629,0.0158,1.198,0.0814,0.681,0.0839,0.818,0.142,0.919,0.3776,0.796,0.0464
C9JLK5,EEF1E1,1.265,0.0109,1.776,0.0342,0.99,0.9388,1.155,0.3067,1.129,0.4451,1.513,0.043,1.125,0.442
P98160,HSPG2,1.656,0.0754,1.691,0.0129,1.075,0.6826,1.026,0.5599,2.02,0.0133,2.373,0.0196,1.322,0.046
Q8WYA6,CTNNBL1,0.976,0.6919,0.724,0.1234,0.908,0.2001,0.786,0.0345,0.931,0.552,1.162,0.0891,0.799,0.4103
B4DGP8,-,1.04,0.7857,1.568,0.3104,1.664,0.0392,1.955,0.0046,2.026,0.0204,3.529,0.0528,3.822,0.0184
P51114,FXR1,0.738,0.4888,0.769,0.2696,0.639,0.0351,0.821,0.3046,0.799,0.1249,0.838,0.2112,0.821,0.3028
P10588,NR2F6,0.508,0.1098,0.574,0.3747,0.672,0.0585,0.651,0.0068,0.449,0.0668,0.443,0.0404,0.469,0.1375
Q9UNQ2,DIMT1L,0.823,0.3718,0.652,0.0538,0.751,0.2462,0.767,0.1142,0.758,0.0049,0.859,0.0048,0.762,0.2203
Q9Y3B4,SF3B14,1.057,0.1482,0.7,0.0128,1.029,0.7505,0.285,0.0002,0.29,0.0004,0.28,0.0011,0.284,0.0033
O00268,TAF4,1.048,0.3796,0.728,0.0619,0.841,0.0953,0.471,0.0189,0.452,0.0243,0.456,0.0432,0.553,0.044
Q5BKZ1,ZNF326,0.738,0.216,0.336,0.1204,1.034,0.532,0.258,0.0036,0.306,0.0303,0.264,0.0177,0.316,0.0194
C9JQC3,SNRPD3,0.687,0.156,0.475,0.1669,0.828,0.1691,0.382,0.0012,0.358,0.0152,0.341,0.0077,0.408,0.0074
A4D286,LOC402290,1.162,0.0548,1.08,0.2942,1.282,0.064,0.782,0.0813,0.596,0.0437,0.586,0.0097,0.877,0.2182
B4E1S7,-,1.367,0.0281,1.805,0.0456,1.097,0.2659,0.674,0.0966,0.675,0.1326,0.795,0.0958,0.758,0.3207
Q9BW92,TARS2,0.979,0.7869,1.13,0.1081,1.095,0.5921,1.5,0.0138,1.446,0.0036,1.929,0.0124,1.669,0.08
B4E3W1,-,1.123,0.6214,1.125,0.1346,0.849,0.2794,2.347,0.0497,1.977,0.0204,1.953,0.0248,2.227,0.0613
O00629,KPNA4,1.425,0.0596,0.774,0.1277,1.307,0.0265,0.618,0.0211,0.705,0.0383,0.691,0.0823,0.643,0.0309
Q9BVK6,TMED9,1.088,0.6199,1.402,0.3109,1.036,0.949,3.255,0.0378,2.533,0.0998,3.444,0.0022,3.285,0.1471
Q96G25,MED8,1.326,0.2396,0.88,0.2489,0.589,0.0972,0.669,0.0985,0.546,0.0495,0.437,0.0122,0.695,0.1527
P37802,TAGLN2,1.862,0.0432,1.575,0.0179,1.428,0.0208,1.278,0.1366,2.659,0.0238,2.159,0.0755,1.713,0.0762
Q96J01,THOC3,1.199,0.1605,0.646,0.2041,0.853,0.0762,0.228,0.0669,0.263,0.0117,0.286,0.0344,0.334,0.028
Q96E11,MRRF,1.067,0.7405,0.937,0.5487,0.894,0.3455,0.64,0.0108,0.385,0.0082,0.369,0.0056,0.432,0.0017
Q9NX24,NHP2,1.052,0.6591,1.078,0.7427,0.823,0.0171,0.864,0.5505,1.065,0.0529,0.994,0.9817,0.952,0.4247
P17535,JUND,1.426,0.1076,1.581,0.2282,0.972,0.8365,0.415,0.0435,0.461,0.1621,0.362,0.0576,0.415,0.1475
Q9UQR1,ZNF148,1.181,0.0356,0.937,0.299,1.068,0.0577,0.483,0.0219,0.558,0.0165,0.587,0.0639,0.555,0.0624
Q9NQG5,RPRD1B,0.937,0.5472,0.664,0.3,1.041,0.8622,0.518,0.0131,0.455,0.0296,0.564,0.0854,0.564,0.246
Q9NP66,HMG20A,0.863,0.14,0.966,0.9051,0.827,0.1033,0.549,0.0465,0.623,0.027,0.608,0.0208,0.623,0.0095
Q9BRL5,-,1.159,0.7286,0.877,0.0693,1.285,0.4518,0.29,0.0132,0.204,0.0922,0.186,0.0052,0.194,0.0577
O75964,ATP5L,1.068,0.7224,1.183,0.1517,0.901,0.5456,3.155,0.0299,2.267,0.0529,3.16,0.0242,2.747,0.0297
P83111,LACTB,0.991,0.9287,1.145,0.0076,1.027,0.3635,0.53,0.1102,0.515,0.0987,0.483,0.0541,0.481,0.0924
Q8IZ68,MTX2,1.172,0.3668,1.108,0.3423,0.72,0.0259,5.667,0.0095,2.544,0.0165,3.052,0.0218,3.17,0.0198
Q8IWS0,PHF6,1.112,0.3406,0.953,0.6942,0.845,0.0182,1.153,0.3997,1.059,0.8121,1.11,0.788,0.797,0.3713
O15260,SURF4,1.065,0.7061,1.321,0.0097,1.093,0.6688,3.018,0.0976,3.212,0.1775,3.825,0.1333,3.632,0.2026
Q8TCX0,-,1.296,0.1919,1.214,0.4258,1.192,0.1486,0.715,0.0843,0.624,0.0201,0.636,0.0783,0.61,0.007
B4DZF2,-,1.244,0.126,1.224,0.0841,1.227,0.0478,0.977,0.9497,1.067,0.8115,0.956,0.8945,1.025,0.9388
Q9ULG1,INO80,0.812,0.0997,0.498,0.0112,0.721,0.0215,0.705,0.0638,0.808,0.1696,0.794,0.091,0.814,0.1326
Q9BXP5,SRRT,1.13,0.3528,0.632,0.0302,0.993,0.943,0.238,0.0433,0.272,0.0615,0.229,0.0258,0.254,0.0168
B3KMP2,-,0.854,0.099,1.141,0.0662,1.139,0.0238,0.817,0.0574,0.834,0.0609,0.938,0.2757,0.895,0.2737
O60885,BRD4,0.881,0.1379,0.985,0.863,0.86,0.0741,0.541,0.0444,0.427,0.0324,0.478,0.045,0.462,0.0134
Q9UKD2,MRTO4,0.733,0.172,0.562,0.054,0.815,0.2614,0.839,0.0033,0.77,0.0051,0.616,0.0157,0.874,0.1428
Q9Y295,DRG1,0.726,0.3319,0.76,0.4938,0.863,0.5631,0.69,0.0527,0.77,0.1976,0.686,0.0117,0.797,0.0194
B7Z268,SSBP1,0.945,0.8017,0.919,0.6233,1.176,0.561,0.209,0.035,0.168,0.0171,0.183,0.0206,0.202,0.0626
B3KUJ5,-,0.969,0.7756,0.977,0.6168,1.252,0.0448,0.398,0.2606,0.457,0.3174,0.447,0.2968,0.44,0.2959
Q96TA1,FAM129B,1.242,0.0926,2.177,0.0006,1.393,0.021,0.963,0.8869,1.33,0.2273,1.346,0.291,1.17,0.4917
Q59GX2,-,0.883,0.1277,1.225,0.3448,1.011,0.8936,2.845,0.0013,2.571,0.0167,2.794,0.0052,3.056,0.0056
Q59HH3,-,1.221,0.2233,1.072,0.7064,0.974,0.92,1.543,0.2317,2.48,0.0467,1.95,0.1168,1.641,0
Q75QN2,INTS8,1.006,0.9719,0.901,0.3041,0.951,0.6881,0.709,0.0402,0.806,0.2978,0.787,0.0099,0.784,0.079
Q8IWE6,SFRS11,0.613,0.0272,0.454,0.0336,0.753,0.1543,0.311,0.0495,0.346,0.0526,0.295,0.0561,0.267,0.162
Q9GZS3,WDR61,1.171,0.0345,1.298,0.1445,0.96,0.366,0.819,0.4514,0.969,0.9261,1.006,0.9731,0.762,0.1893
B7Z4S9,BUD31,0.851,0.5577,0.555,0.1027,0.82,0.0406,0.539,0.0346,0.455,0.0371,0.477,0.0294,0.505,0.0215
Q14166,TTLL12,1.296,0.3599,1.631,0.3313,1.169,0.0179,1.382,0.6,3.384,0.2755,2.994,0.2781,2.275,0.3512
Q9UL03,INTS6,1.052,0.5885,0.723,0.0243,0.907,0.0829,0.833,0.0493,0.934,0.4507,0.952,0.6731,1.031,0.7947
Q96N67,DOCK7,0.828,0.0029,0.774,0.3036,0.809,0.0417,1.02,0.7491,0.933,0.1173,0.851,0.0577,1.008,0.8177
Q9Y221,NIP7,0.849,0.0661,0.749,0.5365,0.718,0.0488,0.901,0.6854,0.766,0.3537,0.703,0.0947,0.748,0.2586
Q9Y5B6,GCFC,1.089,0.2608,0.726,0.0401,0.976,0.428,0.663,0.0117,0.664,0.0087,0.667,0.0132,0.648,0.0221
Q9UBB5,MBD2,0.793,0.0936,0.685,0.1465,0.975,0.6583,0.44,0.0345,0.49,0.0842,0.429,0.043,0.445,0.0223
P55060,CSE1L,1.412,0.1379,1.48,0.0312,1.084,0.7073,1.443,0.0261,2.209,0.135,1.942,0.1514,1.692,0.1813
Q549U1,HSU53209,0.98,0.0903,0.636,0.1735,0.96,0.0068,0.804,0.0169,0.72,0.0264,0.788,0.0786,0.784,0.0484
Q0P607,SFRS15,1.324,0.1997,0.741,0.1826,1.099,0.4603,0.579,0.0619,0.542,0.1011,0.439,0.1053,0.585,0.0186
Q14728,MFSD10,1.047,0.4918,1.117,0.189,1.057,0.634,1.315,0.1417,1.407,0.0494,2.05,0.0478,1.692,0.113
P11177,PDHB,0.801,0.1935,1.594,0.1745,1.674,0.261,0.656,0.0593,0.845,0.3552,0.856,0.4774,0.691,0.0474
B4DYZ1,-,0.842,0.1925,1.078,0.4588,1.029,0.858,1.386,0.0897,1.361,0.1947,1.27,0.0981,1.511,0.0025
Q7Z726,KPNA2,0.529,0.0119,0.477,0.0266,1.074,0.3411,0.646,0.0011,0.55,0.0492,0.43,0.0141,0.687,0.0099
Q16630,CPSF6,0.657,0.1422,0.501,0.1042,0.987,0.9571,0.333,0.0081,0.297,0.0334,0.268,0.0507,0.363,0.0407
Q6P1L8,MRPL14,0.608,0.0527,0.772,0.5702,0.871,0.3727,1.027,0.7874,0.814,0.0021,0.98,0.9142,0.93,0.7384
P63104,YWHAZ,1.598,0.043,1.286,0.0962,1.752,0.0696,0.933,0.7016,1.727,0.0357,1.51,0.1315,1.211,0.1854
B4DUT7,-,1.359,0.3955,1.379,0.4909,1.65,0.0358,1.459,0.1519,2.479,0.084,2.109,0.029,1.704,0.1242
Q9H089,LSG1,0.919,0.5954,1.185,0.4934,0.987,0.871,1.857,0.0036,1.311,0.0846,1.281,0.0064,1.675,0.0089
P36915,GNL1,1.295,0.0027,1.107,0.735,1.243,0.0308,1.808,0.4073,1.976,0.0487,2.168,0.2507,1.933,0.364
Q5QPR3,CDC2L2,0.971,0.7473,0.88,0.4751,0.78,0.0434,0.954,0.7559,1.138,0.4405,1.282,0.1231,1.086,0.4303
P62861,FAU,0.852,0.2962,0.725,0.1125,0.814,0.145,1.924,0.061,1.466,0.0407,1.289,0.1091,1.34,0.089
O76062,TM7SF2,1.32,0.0829,1.225,0.024,1.122,0.5278,1.921,0.206,2.516,0.1352,2.495,0.1621,2.243,0.1852
P07305,H1F0,1.275,0.1173,1.557,0.2252,0.998,0.9693,1.905,0.2536,2.837,0.0436,3.33,0.0262,2.193,0.1065
B4DWL1,-,0.544,0.0179,0.37,0.0432,1.298,0.0671,0.218,0.0993,0.197,0.0451,0.221,0.0609,0.251,0.053
O00186,STXBP3,1.092,0.5905,1.764,0.0562,1.16,0.6857,1.419,0.2735,1.404,0.1512,2.071,0.0647,1.879,0.0468
Q5UIP0,RIF1,0.939,0.231,0.752,0.111,1.228,0.1393,0.48,0.0596,0.419,0.0088,0.358,0.019,0.508,0.1472
O60568,PLOD3,0.538,0.0005,0.874,0.5004,0.834,0.0802,0.304,0.0072,0.238,0.0109,0.283,0.03,0.27,0.0113
Q13418,ILK,0.89,0.1038,1.031,0.93,0.989,0.9281,1.792,0.028,1.713,0.0208,1.793,0.0097,1.805,0.0193
Q15287,RNPS1,0.728,0.1435,0.345,0.0485,0.82,0.2714,0.463,0.0097,0.495,0.0199,0.499,0.0117,0.538,0.0261
P27694,RPA1,1.365,0.0829,0.873,0.4086,1.421,0.0011,0.25,0.0306,0.331,0.0166,0.277,0.0331,0.284,0.0225
Q5JVH5,RP11-151A6.3-001,0.801,0.1719,0.746,0.1838,0.739,0.2244,1.399,0.0687,1.067,0.0464,1.032,0.6118,1.22,0.4528
C9JDN2,GRHL2,0.567,0.0289,0.562,0.0126,0.724,0.1465,0.346,0.0595,0.277,0.0978,0.27,0.0264,0.286,0.1068
P55884,EIF3B,1.387,0.0386,1.686,0.0917,1.491,0.111,0.959,0.8763,1.68,0.2099,1.463,0.2749,1.239,0.5265
Q8IWX8,CHERP,0.982,0.5927,0.672,0.0842,1.012,0.8688,0.401,0.0084,0.414,0.0277,0.351,0.0007,0.455,0.0104
Q86YI5,DLAT,1.04,0.7389,2.541,0.001,1.644,0.0519,0.409,0.024,0.458,0.0173,0.682,0.0391,0.47,0.0445
C7G533,aurkb,0.767,0.3491,0.71,0.0344,0.807,0.2107,1.209,0.6114,0.888,0.753,0.78,0.5944,0.987,0.9421
Q9UMY1,NOL7,0.571,0.0604,0.517,0.0746,0.526,0.0161,1.133,0.6972,1.309,0.4088,1.038,0.8772,1.131,0.6214
Q92542,NCSTN,1.155,0.5693,1.424,0.0252,1.203,0.3456,1.452,0.1779,1.439,0.4807,2.278,0.1436,2.341,0.2118
P30049,ATP5D,0.592,0,1.148,0,1.062,0.8191,1.018,0.1149,0.341,0.3671,0.708,0.319,0.771,0.0143
Q9Y5Q9,GTF3C3,0.94,0.5003,0.915,0.2725,1.311,0.0987,0.642,0.0041,0.735,0.048,0.788,0.0113,0.752,0.1762
P84022,SMAD3,1.298,0.0438,1.566,0.1354,1.095,0.4738,0.68,0.3015,0.891,0.5831,0.831,0.3703,0.686,0.2489
P30837,ALDH1B1,1.044,0.7661,0.89,0.4018,0.862,0.1555,2.016,0.0341,1.645,0.0028,2.249,0.0222,1.74,0.1015
O75844,ZMPSTE24,1.18,0.0212,2.17,0.0454,1.147,0.2973,2.06,0.0397,1.339,0.0125,1.907,0.0175,1.998,0.0481
Q96KR1,ZFR,0.982,0.8531,0.727,0.0284,1.343,0.0651,0.386,0.0617,0.323,0.0308,0.362,0.053,0.424,0.0577
A8K8D9,-,1.428,0.009,1.336,0.2188,1.173,0.2432,1.278,0.494,2.043,0.2925,1.707,0.2288,1.585,0.3578
P51608,MECP2,1.518,0.373,1.25,0.5512,1.153,0.6232,0.462,0.1893,0.533,0.2322,0.586,0.0371,0.626,0.2179
Q53QM0,ERCC3,1.103,0.1861,0.856,0.0284,0.909,0.4161,1.159,0.1781,1.35,0.0138,1.519,0.0081,1,0
Q6UN15,FIP1L1,0.718,0.1742,0.649,0.188,0.969,0.316,0.433,0.0227,0.393,0.0079,0.359,0.0155,0.702,0.1422
Q9NX40,OCIAD1,1.162,0.5854,1.062,0.6633,0.83,0.4372,2.686,0.0244,1.374,0.0948,1.523,0.025,1.833,0.0279
Q75MJ1,ABCF2,0.745,0.0127,0.657,0.0025,0.794,0.2041,1.356,0.1503,1.015,0.926,0.943,0.7219,1.173,0.2496
Q8NFH4,NUP37,1.098,0.4332,0.973,0.7948,0.934,0.1951,1.078,0.2885,1.174,0.0664,0.848,0.3988,0.839,0.0213
Q5J9I4,PIG16,1.313,0.0201,1.04,0.7053,0.891,0.198,0.24,0.049,0.204,0.0143,0.174,0.0253,0.202,0.0292
P21281,ATP6V1B2,1.382,0.0023,0.894,0.4529,0.973,0.8459,1.193,0.1212,1.006,0.8855,0.681,0.0628,0.813,0.1136
P13995,MTHFD2,0.671,0.0186,0.564,0.0472,0.925,0.4105,0.363,0.0105,0.321,0.0034,0.288,0.0097,0.32,0.0031
Q16594,TAF9,1.013,0.4582,0.759,0.3747,0.898,0.0351,0.606,0.3437,0.652,0.4121,0.686,0.4783,0.697,0.3907
P09543,CNP,1.042,0.9052,0.923,0.7773,0.881,0.2276,1.414,0.0789,1.191,0.0304,1.536,0.0479,1.443,0.0195
A8K794,-,0.875,0.5541,0.828,0.3363,0.908,0.2141,1.805,0.0022,1.386,0.0325,1.323,0.1862,1.952,0.0143
Q9Y3Y2,C1orf77,0.92,0.2504,0.51,0.0922,1.096,0.3167,0.469,0.0334,0.609,0.0856,0.676,0.1222,0.581,0.0634
Q6P9B9,INTS5,0.961,0.7476,0.69,0.0453,0.892,0.3287,0.742,0.2303,0.814,0.1509,0.712,0.1811,0.801,0.3529
A8K2S7,-,0.876,0.0231,0.911,0.1373,0.754,0.072,1.931,0.0849,1.385,0.2958,1.336,0.2756,1.648,0.1105
Q9H9Y2,RPF1,0.915,0.8219,0.942,0.1481,0.805,0.2447,0.856,0.0079,0.738,0.3785,0.68,0.0964,0.79,0.3957
B9EGI2,MPRIP,1.345,0.1572,1.094,0.2746,1.073,0.5074,0.664,0.0196,0.661,0.0133,0.733,0.0867,0.723,0.2097
Q15020,SART3,1.114,0.2685,1.574,0.2327,1.591,0.1079,0.458,0.0211,0.71,0.2642,0.923,0.5647,0.64,0.2291
P62495,ETF1,0.877,0.2672,1.14,0.2409,1.281,0.0196,0.967,0.6734,1.032,0.6878,1.038,0.6234,1.205,0.1865
Q96DV4,MRPL38,0.781,0.048,0.84,0.2318,0.837,0.1174,1.002,0.993,0.749,0.3963,1.004,0.9854,0.774,0.5561
O43251,RBM9,1.271,0.3455,1.031,0.9009,1.023,0.345,0.903,0.3601,0.961,0.8738,0.821,0.0357,0.926,0.7039
P08779,KRT16,1.522,0.2597,1.783,0.4926,1.463,0.3316,4.998,0.1395,3.416,0.0682,3.639,0.0336,4.476,0.1068
O95470,SGPL1,1.18,0.4191,1.379,0.1553,1.18,0.0466,2.333,0.3432,2.207,0.3469,2.979,0.334,2.265,0.3642
Q9NUQ8,ABCF3,1.099,0.3713,0.882,0.0416,0.811,0.4722,1.688,0.325,2.06,0.2198,1.725,0.333,1.639,0.2309
P62851,RPS25,0.762,0.4962,0.639,0.2009,0.838,0.5793,1.154,0.0969,0.824,0.0448,1.084,0.3652,1.047,0.7699
O00410,IPO5,1.495,0.2006,1.409,0.0187,1.471,0.0789,1.459,0.3119,2.26,0.2601,1.675,0.2498,1.785,0.2395
P07741,APRT,1.4,0.1698,1.476,0.0567,0.97,0.8343,1.429,0.0365,2.75,0.0454,2.732,0.0712,1.747,0.0991
C1PHA2,KIF5B-ALK,1.135,0.7755,1.267,0.3143,1.296,0.1491,1.416,0.0653,1.896,0.1915,1.874,0.0198,1.816,0.1549
P62888,RPL30,0.767,0.042,0.788,0.0714,0.762,0.1371,1.529,0.3258,1.368,0.4186,1.149,0.5739,1.019,0.0521
