Accession,Name,X115.114,PVal.115.114,X116.114,PVal.116.114,X117.114,PVal.117.114
Q96IU4,ABHEB,0.697,0.0344,0.844,0.109,0.858,0.123
Q9BW60,ELOV1,1.221,0.0469,1.328,0.0205,1.238,0.0188
P04183,KITH,0.7,0.0117,0.825,0.0399,0.908,0.334
B2RDQ3,B2RDQ3,1.027,0.719,1.212,0.000703,1.231,5.94E-06
Q659B7,Q659B7,0.799,0.0827,0.805,0.0858,0.808,0.00837
Q9UHV9,PFD2,0.552,0.000538,0.606,0.0021,0.669,0.0279
O94842,TOX4,1.326,0.0493,1.216,0.0859,0.991,0.828
Q8TD19,NEK9,0.776,0.00938,0.839,0.0203,0.93,0.239
P10909,CLUS,0.598,0.0468,0.8,0.111,0.87,0.15
Q5VU61,Q5VU61,1.218,0.0815,0.707,0.0204,0.732,0.0546
Q86U38,CN021,1.17,0.271,1.046,0.556,0.82,0.0462
B4DDG3,B4DDG3,1.555,0.00283,1.226,0.0466,1.23,0.000668
Q6VY07,PACS1,0.796,0.04,0.647,0.0556,0.85,0.251
Q9UJ14,GGT7,2.171,0.0478,1.748,0.0694,1.56,0.118
Q86WX3,AROS,1.314,0.0414,1.117,0.082,1.093,0.124
Q9BXS4,TMM59,1.733,0.0128,2.068,0.0149,0.987,0.869
Q6IB98,Q6IB98,0.72,0.0222,0.789,0.000459,0.79,0.0123
Q9NZ23,Q9NZ23,2.017,0.00136,1.496,0.00535,1.442,0.00514
Q96CP7,TLCD1,1.119,0.433,1.629,0.00266,1.207,0.16
Q6UXN9,WDR82,0.825,0.0141,1.067,0.604,1.3,0.121
P51151,RAB9A,1.096,0.0775,1.24,0.0038,1.001,0.991
B7Z345,B7Z345,1.298,0.0108,1.255,0.0141,1.073,0.396
B7ZLY0,B7ZLY0,1.321,0.0269,1.175,0.0136,1.339,0.00101
Q9NR50,EI2BG,0.938,0.473,0.913,0.25,0.802,0.0178
Q8WUK0,PTPM1,0.748,0.0498,0.873,0.323,0.973,0.825
Q59EB2,Q59EB2,0.625,0.0686,0.789,0.0307,0.97,0.656
Q4F0N3,Q4F0N3,0.549,0.00303,1.096,0.683,1.181,0.233
Q3ZM02,Q3ZM02,0.892,0.276,1.06,0.0629,1.214,0.0373
O00483,NDUA4,0.853,0.122,0.835,0.33,1.331,0.0462
P60866,RS20,0.841,0.151,0.819,0.0167,0.943,0.256
B3KM58,B3KM58,0.783,0.0131,0.965,0.3,1.262,0.00208
P42025,ACTY,0.712,0.00835,0.744,0.0589,0.861,0.11
Q596K9,Q596K9,0.442,8.11E-07,0.817,5.89E-07,0.84,2.31E-05
Q6FGX9,Q6FGX9,0.719,0.0805,0.807,0.0577,0.782,0.00134
Q53G23,Q53G23,1.181,0.258,1.853,0.0289,1.003,0.953
Q5SRD1,TI23B,0.792,0.14,0.792,0.0374,1.083,0.417
Q92530,PSMF1,0.673,0.00962,0.742,0.00487,0.756,0.0109
B7WP77,B7WP77,0.747,0.041,0.787,0.017,0.874,0.72
Q12962,TAF10,1.249,0.000799,0.963,0.706,1.154,0.0955
Q6Y1H2,PTPLB,1.243,0.41,1.202,0.0259,1.046,0.864
P61009,SPCS3,0.996,0.951,1.217,0.0102,1.039,0.736
Q7Z4X9,Q7Z4X9,0.839,0.176,1.452,0.00018,1.063,0.603
P60059,SC61G,0.915,0.514,1.182,0.141,0.803,0.0392
P04004,VTNC,1.405,0.0189,1.671,0.00245,1.671,0.00359
Q9NRF9,DPOE3,0.647,0.0373,0.715,0.0541,0.853,0.161
Q9BS35,Q9BS35,0.738,0.00347,0.817,0.0157,0.851,0.164
Q969L2,MAL2,0.755,0.0145,0.968,0.726,0.93,0.536
Q5VX98,Q5VX98,0.999,0.989,1.18,0.0253,1.299,0.00598
O14933,UB2L6,0.608,0.0522,0.69,0.032,0.734,0.0364
O00488,ZN593,1.071,0.716,1.073,0.317,1.362,0.0294
Q9P0U1,TOM7,1.181,0.0531,1.3,0.391,1.25,0.0314
Q9P0S9,TM14C,0.641,0.0423,1.164,0.322,0.578,9.51E-05
Q9NPA3,M1IP1,0.512,0.0033,0.553,0.00231,0.626,0.0188
Q5TGE2,Q5TGE2,1.52,0.00481,1.65,0.0194,0.96,0.552
O15230,LAMA5,1.94,0.141,1.287,0.0899,1.226,0.0331
Q96SI9,STRBP,1.256,0.00209,0.986,0.803,0.937,0.228
Q8IY17,PLPL6,1.101,0.768,1.12,0.225,1.203,0.0014
Q9UII4,HERC5,0.557,0.023,0.695,0.0293,0.577,0.00428
Q96ME7,ZN512,1.294,0.0193,1.055,0.0924,0.867,0.0991
Q9P0J7,KCMF1,0.851,0.582,0.907,0.528,0.738,0.00132
Q9P0H9,Q9P0H9,0.814,0.0126,1.027,0.709,1.179,0.0884
Q9Y2Z0,SUGT1,0.767,0.0259,0.841,0.246,0.861,0.252
Q5VUF1,Q5VUF1,0.681,0.0128,0.831,0.206,0.764,0.269
Q16577,Q16577,0.676,0.126,0.679,0.0673,0.704,0.0385
O43765,SGTA,0.787,0.126,0.78,0.0196,0.744,0.0344
Q9NQP4,PFD4,0.753,0.216,0.666,0.0454,0.708,0.131
O60443,DFNA5,0.706,0.0451,0.901,0.448,0.831,0.245
Q5ZPR3,CD276,0.973,0.814,1.297,0.0253,1.424,0.0366
B7ZBA6,B7ZBA6,0.749,0.105,0.743,0.0298,0.967,0.738
Q96PZ0,PUS7,0.694,0.0479,0.792,0.149,0.919,0.316
Q7Z4H8,KDEL2,0.788,0.0421,0.805,0.0424,0.82,0.0885
A6NCN2,KT81L,0.342,0.0744,0.395,0.0389,0.52,0.0259
Q69YG1,Q69YG1,0.756,0.0532,0.777,0.0301,0.816,0.0362
Q9BUI6,Q9BUI6,0.715,0.0171,0.986,0.815,1.085,0.305
Q92905,CSN5,0.818,0.0463,0.865,0.0873,0.907,0.197
Q9Y5K8,VATD,0.875,0.319,0.972,0.545,0.815,0.00243
Q96SB4,SRPK1,0.787,0.0399,0.718,0.0392,1.187,0.112
Q9Y6A9,SPCS1,1.099,0.292,0.885,0.0678,0.743,0.0264
A8K5D8,A8K5D8,0.778,0.0172,1.048,0.7,1.091,0.568
Q0JRZ9,FCHO2,0.717,0.0455,0.837,0.138,0.836,0.171
Q9NS00,C1GLT,1.419,0.297,1.394,0.209,1.226,0.0287
Q53GM9,Q53GM9,0.991,0.761,0.984,0.868,1.478,0.0139
Q8IY95,TM192,0.776,0.0163,0.873,0.105,0.993,0.91
Q6IB33,Q6IB33,0.736,0.0135,0.89,0.123,0.819,0.448
Q86V21,AACS,0.625,0.0133,0.772,0.0925,0.956,0.764
Q9HAN9,NMNA1,1.246,0.0077,1.181,0.0127,1.198,0.435
Q9BXF6,RFIP5,1.254,0.00645,1.184,0.141,1.065,0.756
B2R5B6,B2R5B6,1.435,0.0152,1.292,0.018,1.452,0.35
P26447,S10A4,0.678,0.0339,0.853,0.122,0.804,0.0258
P62266,RS23,0.687,0.00157,0.868,0.0255,0.976,0.823
C9JJN1,C9JJN1,1.163,0.256,1.246,0.381,1.338,0.00212
Q9Y580,RBM7,1.489,0.0273,1.269,0.0243,1.101,0.518
O00422,SAP18,1.222,0.0481,1.106,0.131,1.042,0.561
Q8WTW0,Q8WTW0,1.285,0.0173,1.193,0.0512,0.929,0.623
Q58FG1,HS904,0.586,0.159,0.651,0.0443,0.654,0.223
Q9Y5J5,PHLA3,1.19,0.112,1.121,0.0125,1.212,0.0101
Q16890,TPD53,0.58,0.0183,0.664,0.0543,0.916,0.326
Q99643,C560,0.745,0.0306,1.341,0.0631,1.298,0.0539
Q6ZT21,TMPPE,1.206,0.0892,1.309,0.0494,1.227,0.266
Q9BY42,CT043,0.792,0.0241,0.819,0.21,1.013,0.349
Q59ET7,Q59ET7,0.863,0.459,0.871,0.215,0.788,0.0427
Q8IUF1,CBWD2,0.795,0.187,0.749,0.0386,0.894,0.597
O95210,STBD1,1.037,0.234,1.31,0.0963,1.374,0.00463
Q9UI12,VATH,1.409,0.0211,0.943,0.34,1.026,0.771
Q05655,KPCD,0.928,0.641,0.93,0.179,0.648,0.0379
Q6FHU0,Q6FHU0,0.638,0.0524,0.779,0.00625,0.918,0.445
Q9BTY7,BRP16,0.739,0.107,0.725,0.0181,0.826,0.0238
Q96K37,S35E1,1.041,0.705,1.452,0.0153,1.228,0.0801
Q9BVC6,TM109,1.129,0.0149,1.193,7.43E-05,1.231,0.000154
P14735,IDE,0.614,0.00145,0.676,0.0198,0.715,0.0523
A0MZ66,SHOT1,0.564,0.00891,0.808,0.209,0.811,0.5
P15104,GLNA,1.302,0.00375,0.761,0.0144,0.686,0.0221
O15121,DEGS1,2.507,0.0406,1.778,0.0538,1.141,0.00142
Q6N075,MFSD5,1.046,0.303,1.294,0.0063,1.343,0.0691
Q9Y3A0,COQ4,1.445,0.00603,1.824,0.0172,1.141,0.00439
Q96EY5,F125A,0.772,0.0393,0.83,0.117,0.928,0.315
Q96BH1,RNF25,0.872,0.384,0.839,0.0391,0.785,0.0237
P41273,TNFL9,1.385,0.0234,1.553,0.0233,1.128,0.188
Q8WVC6,DCAKD,0.737,0.0383,1.012,0.923,0.835,0.105
B8ZZX6,B8ZZX6,1.585,0.0348,1.854,0.00164,2.005,0.000119
Q9NRX5,SERC1,1.426,0.0265,1.894,0.00632,1.348,0.118
P42766,RL35,0.871,0.136,0.795,0.0127,1.077,0.631
P62861,RS30,0.569,0.0114,0.621,0.0199,0.788,0.146
Q5EBL8,PDZ11,0.78,0.0238,0.79,0.0659,0.922,0.477
Q9ULR0,ISY1,1.538,0.132,1.313,0.0649,1.446,0.045
P02748,CO9,4.07,0.00425,2.645,0.00689,1.565,0.0561
B2R5R1,B2R5R1,1.936,0.0165,1.432,0.105,1.414,0.0829
B7Z7I3,B7Z7I3,0.821,0.281,0.818,0.0287,1.029,0.744
Q92572,AP3S1,0.541,0.0047,0.73,0.00175,0.628,0.0409
Q5T4L6,Q5T4L6,0.683,0.0248,0.699,0.00466,0.8,0.0164
C9JMV9,C9JMV9,0.441,0.0416,0.544,0.0476,0.605,0.0248
Q8N9M5,TM102,1.228,0.033,0.999,0.968,0.804,0.0158
B3KNG6,B3KNG6,0.629,0.0219,0.576,0.0109,0.704,0.0187
Q75L79,Q75L79,0.814,0.259,1.305,0.0636,0.744,0.0164
Q14139,UBE4A,0.673,0.0135,0.711,0.162,0.858,0.232
Q9H3M7,TXNIP,2.54,0.0393,3.391,0.0372,2.716,0.0535
A6NNZ9,A6NNZ9,1.638,0.0318,1.406,0.109,1.472,0.0797
Q2TU64,Q2TU64,0.655,0.0542,0.635,0.00561,0.825,0.24
Q96S82,UBL7,0.771,0.0744,0.744,0.114,0.752,0.0484
Q96PV6,LENG8,1.416,0.00381,1.391,0.0368,1.135,0.342
Q9H9Q4,NHEJ1,1.421,0.0585,1.279,0.0477,1.007,0.952
Q96NT0,CC115,1.295,0.00698,1.269,0.00263,1.3,0.0201
Q9NVN8,GNL3L,0.912,0.0953,1.005,0.955,1.251,0.0485
P07305,H10,1.199,0.00492,1.308,0.000316,1.233,0.00372
B7Z7A0,B7Z7A0,0.491,0.0235,0.584,0.108,0.557,0.0556
Q9GZQ8,MLP3B,1.128,0.0337,1.819,0.0895,1.635,0.027
Q8N0Y7,PGAM4,0.755,0.0195,1.275,0.0149,1.07,0.0278
A2A3N6,PIPSL,0.684,9.23E-05,0.703,0.000172,0.816,0.052
Q96FN4,CPNE2,1.238,0.0291,0.98,0.934,1.005,0.903
O43292,GPAA1,1.221,0.00129,1.21,0.424,1.122,0.269
Q92696,PGTA,0.8,0.037,0.802,0.0728,0.737,0.00424
P14373,TRI27,0.834,0.00451,0.789,0.0169,0.971,0.125
O75509,TNR21,0.816,0.0137,0.881,0.0877,0.952,0.418
Q9Y606,TRUA,1.006,0.871,1.003,0.939,1.206,0.0295
Q9BRP8,WIBG,0.804,0.0438,0.966,0.808,0.972,0.739
Q9HAB8,PPCS,0.809,0.582,0.809,0.162,0.811,0.0422
Q8WUX1,S38A5,1.68,0.0016,1.742,0.00446,1.939,0.000672
Q96ES7,SGF29,1.226,0.196,1.106,0.221,0.725,0.00716
Q96B49,TOM6,1.575,0.00185,1.114,0.0552,1.002,0.975
Q8WVX3,CD003,1.348,0.0409,1.391,0.0188,1.246,0.0361
Q6IB24,Q6IB24,0.552,0.0454,0.7,0.0486,0.75,0.0858
Q6MZS5,Q6MZS5,0.985,0.698,1.025,0.225,0.776,0.016
P52815,RM12,0.795,0.00264,1.082,0.399,1.322,0.0283
Q5T6U8,Q5T6U8,1.478,0.0111,1.333,0.0698,1.038,0.398
Q92930,RAB8B,1.266,0.0394,1.347,0.0289,1.201,0.142
B4DPY0,B4DPY0,0.995,0.98,0.929,0.603,0.706,0.0331
Q9Y6M4,KC1G3,1.342,0.0013,1.109,0.153,0.965,0.594
B4DY38,B4DY38,0.916,0.134,1.058,0.29,1.253,0.0372
O75319,DUS11,1.297,0.0126,1.288,0.00672,0.993,0.875
Q6FHC9,Q6FHC9,1.186,0.0218,1.449,0.0328,0.906,0.0327
O60635,TSN1,1.13,0.26,1.202,0.185,0.606,0.0429
O00233,PSMD9,0.858,0.127,0.78,0.13,0.749,0.0443
Q9UNL2,SSRG,0.994,0.929,1.199,0.00451,1.226,0.00293
Q9NRP0,OSTC,1.376,0.00219,1.347,0.00192,1.173,0.0172
Q9NR33,DPOE4,1.508,0.00861,0.996,0.978,1.179,0.294
Q8TBQ9,T167A,0.836,0.204,1.346,0.00825,1.204,0.000507
Q6FG42,Q6FG42,0.928,0.524,1.135,0.105,1.317,0.0265
P52655,TF2AA,0.828,0.136,0.748,0.00048,0.965,0.724
Q9NP97,DLRB1,0.691,0.0173,0.708,0.00303,0.847,0.0105
Q99417,MYCBP,0.856,0.0112,0.807,0.00301,0.817,0.00933
Q5SWW8,Q5SWW8,0.83,0.214,1.589,0.00492,1.188,0.131
Q5BJH2,TM128,0.719,0.0106,0.803,0.0616,0.903,0.205
P62857,RS28,0.769,0.00396,0.733,0.00155,0.952,0.433
Q9UHA3,RLP24,1.005,0.953,2.609,7.05E-05,1.166,0.195
Q9NPE3,NOP10,1.356,0.0092,1.164,0.0469,0.864,0.0517
Q9BZS5,Q9BZS5,0.749,0.0218,0.742,0.0421,0.944,0.0921
Q92876,KLK6,0.747,0.229,0.621,0.0708,0.565,0.00901
Q6FIF0,ZFAN6,0.65,0.0395,0.736,0.0667,0.988,0.956
P36954,RPB9,1.265,0.0256,1.103,0.243,1.064,0.763
P01034,CYTC,1.084,0.161,1.302,0.0251,1.324,0.00916
P55061,BI1,2.678,0.0325,1.875,0.0545,1.572,0.0863
Q15041,AR6P1,1.495,0.00141,1.448,0.0115,0.97,0.0436
C9JCF5,C9JCF5,1.395,0.0995,1.235,0.113,1.919,0.0142
Q9NPF4,OSGEP,0.691,0.0014,0.706,0.0593,0.946,0.107
