Protein.IDs,Gene.name,Uniprot,Median.Ratio.C.N
IPI00450472;IPI00032957,LA16c-358B7.1-006;UBE2I;hCG_42687;UBC9;UBCE9,B0QYN7;Q7KZS0;P63279;A8K503,4.60098
IPI00923547,HSPD1,B9VP24,4.59887
IPI00916847;IPI00290416;IPI00916410;IPI00216106;IPI00908669;IPI00216105;IPI00878789,GTPBP9;OLA1;PRO2455;PTD004,Q9NTK5-1;Q9NTK5;Q9NTK5-3;B4DK14;C9JTK6;Q53SW9;Q9NTK5-2;C9JCJ9;Q53SQ6,4.58246
IPI00012382;IPI00909847,SNRPA,P09012;B2R802,4.57799
IPI00154975;IPI00014718,DNAJC9;hCG_2024613,Q8WXX5;B2RMW6,4.55698
IPI00020928;IPI00644515;IPI00643708,TCF6;TCF6L2;TFAM,Q00059;A9QXC6;Q6LES8;A8MRB2;Q05D31;Q3SX57;C9JGW4,4.55485
IPI00182126;IPI00922428;IPI00878142;IPI00645860;IPI00953596,FKBP60;FKBP63;FKBP9,O95302;A7YQ73;B3KQQ0;B7Z1G9;B7Z1U8;B7Z230;B7Z994;B7ZAH5;B7Z6H3,4.54886
IPI00031960;IPI00916060,POLR1A,O95602;B7Z284;B7Z8X7;B7ZKR9;Q53T12;Q96AG9;Q9H6T2;B9ZVN9,4.50908
IPI00016746;IPI00024871,CBFB,Q13951-1;Q13951;Q13951-2;A8K719,4.49874
IPI00791325,KIAA0020;XTP5,Q15397;B2RDG4,4.48569
IPI00604598;IPI00550958;IPI00375496;IPI00896458,JMJD6;KIAA0585;PTDSR;hCG_30900,Q6NYC1-3;Q6NYC1;Q6NYC1-1;Q6NYC1-2;B2WTI3;B2WTI4,4.48482
IPI00185146,HSPC273;IMP9;IPO9;KIAA1192;RANBP9,Q96P70,4.44783
IPI00102661;IPI00008477,HCA90;hCG_38821;RP11-243J16.10-002;TPX2;C20orf1;C20orf2;DIL2;HCA519;HCTP4,Q96RR5;Q9ULW0;B3KM90;Q643R0;Q96FC3,4.43804
IPI00106491;IPI00908451,C1orf33;MRT4;MRTO4,Q9UKD2,4.42283
IPI00017303;IPI00893933;IPI00940797;IPI00942143;IPI00940255;IPI00942418;IPI00783458;IPI00816513;IPI00783348,MSH2,P43246;B4DL39;B4E2Z2;Q53FK0;Q53GS1;Q53RU4;B4DSB9,4.40988
IPI00419844;IPI00916833;IPI00916761;IPI00916869;IPI00917733;IPI00917974;IPI00917843;IPI00927463,CGI-21;HSPC332;PRO2855;USP39;hCG_34614,Q53GS9;B7Z7L9;B9A018;B8ZZD1;B3KMG1;B3KPG7;B4DHT4;B3KM40,4.40541
