"Majority.protein.IDs","t.test.Significant.A.N","t.test.Significant.C.A","t.test.Significant.C.N","Log.2..ratio.A.N","Log.2..ratio.C.A","Log.2..ratio.C.N"
"Q99567","+","","+",0.64,0.15,0.79
"Q8N1F7","+","","+",0.84,0,0.83
"P52948;P52948-5;P52948-2;P52948-6","+","","+",1.07,-0.12,0.95
"Q9BVL2;A6NI12;C9JDH3;Q9BVL2-2;Q5JRG1","+","","",0.82,-0.03,0.78
"O15504;C9JYA1;O15504-2","","+","+",-0.15,1.06,0.91
"Q9BXS6-5;Q9BXS6-3;Q9BXS6;Q9BXS6-2;Q9BXS6-4;E9PB35;E7ERR5","+","","+",1.32,1.06,2.37
"O15381;B4DP98;H0Y8B6;O15381-2;B4DMC4;F8W938","+","","",1.9,-1.03,0.87
"Q9UBU9;E9PIN3;Q9UBU9-2","+","","",0.67,0.16,0.83
"Q9NPJ8-3;Q9NPJ8;Q9NPJ8-2;Q9NPJ8-4","+","","",0.72,-0.2,0.52
"Q9Y6K5;F5GWB8","","","+",0.2,0.92,1.11
"P04181;Q68CS0","","+","",-1.26,1.9,0.64
"O75665;O75665-3;A6NF31;F5H2Z4","+","","",1.69,-1.26,0.44
"Q02218;E9PCR7;E9PDF2;Q02218-2;E9PFG7","","+","",0.01,-0.55,-0.54
"Q8N543;Q8N543-2","","+","+",-0.18,2.02,1.84
"Q9NZT2;Q9NZT2-2;E7ESW4;Q4VXW4","","+","+",-0.01,1.14,1.13
"P20774;Q5TBF5","+","","+",-4.05,0.85,-3.21
"O15294;O15294-2;O15294-4","","","+",0.44,0.33,0.77
"Q9NTK5","","+","+",0.11,0.87,0.98
"Q6UX06","+","","",2.62,-2.12,0.51
"Q96E52","","+","+",0.42,-1.87,-1.44
"Q13415","","","+",0.51,0.73,1.24
"Q13416","","","+",0.96,0.65,1.61
"Q9UBD5-2;Q9UBD5;E7ENV6;B4E025;B4DZ51","","","+",0.25,0.98,1.23
"O43913;O43913-2;B4DXT8","","+","+",0.62,0.82,1.44
"P02763","+","+","",-1.19,1.12,-0.07
"Q9BXB4","+","+","",-0.55,0.92,0.37
"Q9H1P3-2;Q9H1P3;E7ET92","+","+","",-0.62,0.84,0.22
"Q9H4L5;Q9H4L5-2;Q9H4L5-3;Q9H4L5-4;Q9H4L5-5;Q9H4L5-6;Q9H4L5-7;Q9H4L5-8","+","","+",1.38,0.01,1.39
"Q9BZF2","","+","+",0.22,-1.57,-1.35
"Q9BZF1;Q9BZF1-2;E9PE68;F5H7T2;F8VQX7;F8VUA7","","","+",0.57,0.39,0.96
"B1AKJ6;Q96SU4;Q96SU4-2;Q86YQ3;B3KPQ4;E9PJW9;Q96SU4-3;Q96SU4-4;Q96SU4-5","+","+","",0.78,-0.71,0.07
"Q9H4B0;Q9H4B0-2;Q9H4B0-3;E5RGZ1","+","","",1.48,-0.8,0.68
"Q9NRP0;D6RH22","","","+",-0.52,-0.15,-0.67
"Q96FW1;F5GYJ8;F5H6Q1;F5GYN4","","+","",-0.55,0.68,0.13
"G3V0I6;Q01804","+","","",1.14,-0.49,0.65
"Q8N6M0","","","+",-0.14,0.81,0.68
"F5H620;Q96HP4","+","","",0.82,-0.58,0.24
"E7EPF7;Q99571;F6RU17;B7Z4R5;F5H1M6","+","+","+",-0.87,-1.23,-2.09
"P13674;P13674-2;C9JL12","","","+",0.35,0.93,1.29
"P07237;E7EPA8;F5H8J2;B4DUA5;H0Y3Z3","+","","+",-0.34,-0.28,-0.62
"Q9UQ80;F8VTY8;F8VRZ3;F8VR77","","+","+",0.1,0.43,0.54
"Q9BRP4;F5H0C4;Q9BRP4-2;F5H3I1;F5H103;B7ZAS9","","+","",-0.59,1.21,0.62
"P11940;E7EQV3;E7ERJ7;P11940-2;H0YBQ4","","+","+",-0.26,0.83,0.57
"Q8WU39","+","+","+",-1.6,-1.49,-3.09
"Q9UNF0;Q9UNF0-2","+","+","+",-0.59,-0.76,-1.35
"Q9UKS6;E9PIY1","","+","+",0.88,1.3,2.18
"Q9Y2J8;B4DIU3;Q96DA7","+","+","+",-1.08,-2.54,-3.62
"Q9UM07","","+","+",-0.44,1.86,1.42
"Q8N7H5;Q8N7H5-2;F8W9Q2;B4DGJ5","+","","+",1.7,-0.24,1.46
"P43034;C9JJI8","","","+",-0.17,-0.29,-0.47
"Q15102","","+","+",-0.64,2,1.36
"Q99487","","","+",-0.55,-0.93,-1.48
"Q9NWQ8","+","","+",-1.57,-0.18,-1.75
"P22234-2;P22234;E9PBS1;D6RF62","+","","+",0.49,0.24,0.72
"Q9H074;Q9H074-2;A6NKV8;D6REB4","","+","+",-0.07,0.72,0.66
"Q9NWT1","+","","+",0.95,0.47,1.43
"Q13177","","+","",-0.18,0.45,0.28
"Q9ULE6","","+","+",1.07,1.66,2.74
"O75781;O75781-2","+","","",-1.7,0.32,-1.38
"Q504Q3;Q504Q3-3;Q504Q3-2","+","","",0.89,-0.38,0.51
"Q9BZ23;Q9BZ23-4;Q9BZ23-3;Q9BZ23-2","","+","",-0.58,1.16,0.58
"Q9NVE7;E9PHT6;H0YA26","","","+",-0.35,-0.22,-0.57
"O95340-2;E7ER89;H0Y373;O95340","+","+","+",-1.32,-1.1,-2.42
"Q8TEW8;Q8TEW8-2;Q8TEW8-5;E9PE87;Q8TEW8-3","+","","+",1.48,-0.39,1.09
"Q9BYG5;A2A2A7","","+","",-0.09,0.95,0.87
"Q99497","+","","",-0.4,0.21,-0.18
"Q9H300;Q9H300-2;C9JNP8;F8WCQ4","","","+",0.45,0.56,1.01
"O95453;B4DWR4;B4DDG8;B4DSB0","+","","+",0.88,0.05,0.93
"P09874","","","+",0.35,0.33,0.68
"Q460N5;Q460N5-4;Q460N5-1;Q460N5-3","+","","",1.16,-0.63,0.53
"Q9UKK3","+","","",0.43,-0.21,0.22
"Q9NVD7;F5H1R9;B7Z952;E9PS97","+","","+",-1.07,0.34,-0.73
"A6NG58;Q9HBI1;B5MDI0;Q9HBI1-2;B0QYM8;B0QYP6","","+","",-0.76,1.2,0.44
"Q9HBI0;Q9HBI0-2;Q9HBI0-3","+","","+",-1.04,-0.81,-1.85
"Q86TB9-4;Q86TB9;Q86TB9-2","","","+",0.23,0.59,0.82
"Q96IZ0","+","+","",0.74,-0.82,-0.08
"B4DX68;Q96KB5","","+","+",0.54,1.14,1.67
"P30039;C9JIM0;F8W7D0","","","+",-0.67,-0.84,-1.51
"Q86U86;Q86U86-8;Q86U86-2;Q86U86-7;Q86U86-5;Q86U86-9;Q86U86-4;Q86U86-3;E7EVG2;H0Y5B5","+","","+",0.82,-0.11,0.71
"Q15365","","+","",-0.21,0.44,0.23
"A8K7X6;F8VYL7;Q68Y55;G3V0E8;F8VRG9;B4DLC0","+","+","",-0.8,1.15,0.35
"P05165;P05165-2;C9JPQ8","","","+",-0.61,-0.7,-1.3
"E7EX59;P05166-2;E9PDR0;P05166;E7ETT1;C9JQS9;E7EUY3;E7ETT4;F5H4H8;E9PEC3;F8WBI9","","","+",-0.55,-0.79,-1.34
"O94913;E9PQ01;E9PKN0","","","+",0.5,0.1,0.59
"Q5JVF3-4;C9J439;F8W955;Q5JVF3;Q5JVF3-2;Q5JVF3-3;F8WEF4","+","","+",0.83,0.14,0.97
"Q9H4Z3;B7Z5U5","+","","+",0.86,-0.01,0.86
"P35558","+","","+",-4.43,-0.42,-4.85
"P12004","","+","+",0.02,0.97,1
"O95613;O95613-2","+","","",0.99,-0.25,0.74
"Q15113","+","+","",-1.38,1.79,0.41
"Q9UHG2","+","","+",-3.55,0.83,-2.72
"Q9UKL6;Q9UKL6-2","+","","",-0.64,-0.2,-0.84
"Q9UHG3;F8W8W4","+","","",-0.59,0.55,-0.04
"Q9BUL8;C9J5C3;C9J6F3;C9J363;C9JND6;C9JSA3","","+","",-0.44,0.88,0.44
"Q14690;F5H7X0","+","","+",2.01,-0.52,1.49
"Q53EL6;B5ME91","+","+","+",-1.09,-0.78,-1.87
"O14737;B4DE64","","+","+",-0.14,0.72,0.58
"O75340;Q2YDC2","+","+","",-2.24,2,-0.25
"Q8WUM4;E9PFU1","+","+","+",0.37,-1.13,-0.76
"Q9H2J4","","","+",0.26,0.35,0.61
"Q14432","+","","+",-1.77,0.04,-1.73
"Q13370;B7ZM37","","+","",0.48,-1.4,-0.92
"O76074-2;G5E9C5;C9JGT3","","+","+",-0.29,-1.64,-1.94
"P16234;P16234-3","+","+","+",-1.51,-1.61,-3.12
"P11177;P11177-2;B4DDD7;C9J634","","+","",0.14,-0.52,-0.37
"P13667","","","+",-0.33,-0.27,-0.61
"Q14554;Q9BV43","+","+","+",-0.55,-0.98,-1.54
"Q15084-2;B5MCQ5;F8WA83;Q15084;B7Z254","+","+","",-0.68,0.47,-0.21
"Q15118;E9PD65;B7Z7N6;B7Z207","+","","+",-1.45,-0.01,-1.46
"Q15119;Q15119-2","","","+",-0.86,-0.55,-1.41
"Q15120","+","","+",0.71,0.58,1.29
"O00151","","+","+",0.12,-0.82,-0.7
"Q53GG5-2;Q53GG5;Q53GG5-3","+","","+",-1.08,-0.42,-1.5
"Q96HC4;Q96HC4-4;F5H7Y0;D6RB78;E9PBF5","+","+","",0.59,-0.85,-0.27
"O15530;C9JWR9;O15530-3;E9PER6;O15530-2;O15530-4;Q59EH6;E3W993;Q6A1A2","","+","",-0.16,0.66,0.51
"Q8NCN5;A8MT40;E7EMA7","+","","",0.63,-0.53,0.09
"Q9NUG6","","","+",-0.23,1.09,0.86
"Q29RF7","+","","+",0.74,0,0.74
"E7ENA8;Q9NTI5;Q9NTI5-2;B7Z5S1","+","","+",0.59,0.21,0.8
"Q6P996;E7EMH5","+","+","+",-0.9,-0.68,-1.58
"O00764;F2Z3F8;O00764-2","+","","",0.31,-0.28,0.03
"Q96GD0","+","+","",-0.9,0.74,-0.17
"Q8NEN9","+","+","",1.2,-0.69,0.5
"Q15121;B1AKZ5","+","+","",-1.23,0.98,-0.25
"P16284;P16284-2;P16284-6;P16284-3;P16284-4;P16284-5","","","+",-0.72,-0.8,-1.53
"Q9BY49;B4DJS2","+","","",-1.29,0.3,-1
"Q9BRX2","+","","",0.55,-0.07,0.48
"Q8IZL8;Q8IZL8-2;C9JFV4;E7EV54;F8WDZ1","+","","+",1.47,-0.01,1.45
"Q96RR1;Q96RR1-2;Q96RR1-3","+","","",1.32,-0.14,1.18
"P12955;E9PCE8;A8MX47","","+","+",0.1,1.02,1.12
"O00541;B5MCF9;O00541-2;B3KXD6","+","+","+",0.93,0.73,1.66
"O96011;B4DXH9","","+","",-0.16,0.59,0.43
"Q9Y5Y5-2;Q9Y5Y5;E9PP98;E9PMM3;E9PLS4","","+","",-0.13,1.14,1.01
"P56589","","+","",-0.45,1.46,1.01
"B4DZ45;P50542;P50542-3;P50542-2;F5H5C0;F5H3X7","","","+",0.28,1.05,1.33
"Q9UHV9","","+","+",-0.32,1.34,1.02
"Q9NQP4;E9PQY2","+","","+",0.54,0.24,0.79
"Q99471;Q9C083","","+","+",0.42,0.82,1.24
"O15212;A2AB88","","+","+",-0.31,1.13,0.82
"O60825;B0FLL2","+","","",-0.69,0.12,-0.58
"Q16877;Q66S35;B7Z5C3;Q64EX5;Q5XLC2;C9K0D8","","","+",-0.63,-1.12,-1.75
"P17858;P17858-2;F5H3H2","+","","",-1.12,0.35,-0.77
"P08237;P08237-2","+","","",-0.74,0.69,-0.06
"P07737","+","","",-0.57,0.09,-0.48
"P35080;C9J712;C9J2N0;C9JQ45","+","","",-1.75,1.2,-0.55
"Q96HS1;Q96HS1-2","","+","+",0.09,1.03,1.12
"Q75T13;Q75T13-2;Q75T13-3","+","+","",1.58,-1.44,0.14
"B5MDX4;Q9Y646;E5RJA8;E5RJP8;E5RJZ7;E5RH35","+","","",-2.15,1.55,-0.6
"P52209;B4DQJ8;F5H7U0;F5H0L3","+","","",-0.79,0.38,-0.41
"B4DHM5","","+","+",-0.24,1.47,1.23
"P00558;B7Z7A9;B4E1H9;E7ERH5","+","+","+",-0.38,0.88,0.5
"P36871;F5H857;P36871-2;B4DPV0","+","","+",-1.09,-0.41,-1.5
"Q15124;Q15124-2","+","+","+",-1.43,-1.13,-2.56
"A6NDG6","","+","",-0.64,1.04,0.39
"O00264;B7Z1L3","+","+","+",-0.76,1.43,0.67
"O15173","+","","",-1.83,0.84,-0.99
"Q32NB8;Q32NB8-2;B4DLU3","","","+",0.81,0.86,1.67
"Q8IZ21-2;Q8IZ21;Q8IZ21-3","+","","",-0.46,0.1,-0.36
"Q8IXK0-5;Q8IXK0;Q8IXK0-4;B3KPJ4;Q8IXK0-2","+","","+",1.36,0.82,2.19
"Q8NDX5-7;Q8NDX5;Q8NDX5-2;E7EX82","+","","",0.85,0,0.85
"Q8WUB8;Q8WUB8-2;Q8WUB8-3","","","+",1.44,0.93,2.38
"A8MSQ1;O94880-2","+","","+",1.29,-0.21,1.08
"O75151","+","","",0.84,-0.3,0.54
"Q92576;Q92576-2","+","","",0.69,-0.22,0.47
"Q8IWS0;B4E0G4","+","","+",0.69,0.76,1.45
"O43175;Q5SZU1;F5H634","","+","+",-0.23,1.84,1.61
"Q8WWQ0","","+","+",0.26,0.58,0.84
"Q86UU1;Q86UU1-2;B0YJ65;Q86UU1-3","","+","+",-0.3,-1.93,-2.23
"Q9NRX4;Q9NRX4-2","","+","",0.14,-0.57,-0.43
"Q5SRE7;Q5SRE7-2;Q5SRE7-3;G5E9M0","","","+",-0.81,-0.67,-1.48
"Q9UBF8-2;Q9UBF8","","+","",-0.68,1.11,0.43
"Q7Z2X4;Q7Z2X4-2;Q7Z2X4-4;Q7Z2X4-3","","+","",0.63,-1.1,-0.47
"P29372-2;Q5J9I4;P29372;G5E9E2;A2IDA3","+","","+",1.02,0.28,1.3
"Q92643;B4E2M3;B1AK81;A6NEM5","","+","",-0.53,0.7,0.16
"O95427","","+","",1.05,-1.05,0
"P01833","","+","+",-0.75,-1.9,-2.65
"Q969N2;B7Z3N1;G8JLF5;Q969N2-4;Q969N2-3;F5GWY0;Q969N2-2","","+","",-0.53,1.05,0.52
"Q9H490;Q9H490-2;E7EVL4","","+","+",-0.4,2.45,2.05
"H0Y2P9;Q8TBF5-2;Q8TBF5","+","","+",1.18,0.08,1.26
"O00443;F5H2B0","+","","",0.66,0.02,0.68
"O00750;F5GWN5","+","+","",1.14,-0.91,0.23
"Q8NEB9;A8MYT4","","+","",0.55,-0.63,-0.08
"Q9Y237-2;Q9Y237;F5H1P5;H0Y610;H0Y8P6;H0Y4T6","","+","+",0.05,1.22,1.27
"Q96BK5;E5RGR1;B4DKV0;Q96BK5-2;E5RJG9","+","","",1.86,-0.92,0.94
"P12273","+","+","",-2.86,2.82,-0.04
"P48426","+","","+",-0.96,-0.25,-1.21
"Q8TBX8;B4DY44;B4DM11;B3KQV3;F8VNT5","+","+","",-0.85,0.91,0.06
"Q9UG56-2;F5GYC6;B1AKM6;B1AKM8","+","","+",-1.58,0.14,-1.45
"Q9GZP4;Q9GZP4-2","","","+",-0.55,-0.9,-1.45
"C9JSL2;E9PDX6;E9PDX7;E7ES23","+","","+",0.58,0.11,0.69
"P30613;E7ESY9","","+","",-1.11,2.56,1.45
"Q13835;Q13835-2","+","","",1.79,-1.09,0.7
"Q99959-2;Q99959;B8QGS9","","+","",0.17,-0.57,-0.39
"Q9Y446","+","","+",0.52,0.2,0.73
"Q99569;Q99569-2;F8W7E2","+","+","",1.64,-0.96,0.68
"P14555","+","","+",-3.44,-0.21,-3.66
"Q9Y263;E5RIM3","+","","+",0.33,0.03,0.36
"Q5JTB4","+","","+",-1.83,-0.52,-2.35
"P00749;E7ET40;P00749-2;E7ESM2","","","+",0.52,1.63,2.14
"B3KR14;P51178","","+","+",-0.37,-1.21,-1.58
"Q9P212;Q9P212-2","","","+",-0.19,-0.93,-1.12
"P16885","+","+","+",-1.24,-0.77,-2.01
"Q13393-2;Q13393;Q13393-4","","+","+",-0.1,-1.08,-1.18
"Q15149;Q15149-6;Q15149-9;Q15149-7","+","+","",1.6,-1.5,0.1
"Q9NYT0;H0YIZ5","+","","",0.92,-0.31,0.61
"Q9HB21;Q5RGS4;B3KQ55","+","","+",0.75,0.31,1.06
"Q9HB19;E5RHB5","+","","",1.04,-0.42,0.62
"Q9H4M7;Q9H4M7-2","+","","",-1.16,1.13,-0.03
"Q9HAU0;Q9HAU0-2;Q9HAU0-5;A0JP02","+","","",0.66,-0.35,0.31
"Q5VTI5;Q9Y2H5","+","+","",0.88,-1.19,-0.31
"E9PKC0;Q6IQ23-2;Q6IQ23;H0YDE2;Q6IQ23-3","+","+","",0.88,-1.43,-0.55
"A1L390;A1L390-3;A1L390-2;G3V311","+","+","",1.14,-1.25,-0.11
"Q9Y4G2;B4DRX1;F8VRF9;F8W648","+","","+",0.89,0.03,0.92
"Q8TD55;B3KTW8","+","","",-0.94,0.15,-0.8
"P00747","+","+","",-0.88,1.03,0.16
"O60664;O60664-3","+","","",-0.38,0.38,0
"P53350;Q58A51","","+","+",0.35,1.36,1.71
"B4DR87;Q02809","","+","+",-0.05,1.39,1.34
"O00469-2;E7ETU9;O00469;B3KWS3","","","+",0.51,1.33,1.84
"O60568","+","","+",0.59,0.49,1.08
"A8MW61;O43660;O43660-2","+","","+",0.83,0.34,1.17
"Q14651","","","+",-0.21,-0.33,-0.54
"P13797;B4DGB4;F8W8D8;B7Z6M1","","","+",0.28,0.72,1
"O75051","","+","",-0.09,-0.73,-0.81
"O15031","","+","",0.26,-0.64,-0.38
"P29590;H2N333;P29590-5","+","","+",1.06,-0.04,1.02
"Q10713;B4DKL3","","+","+",0.28,0.58,0.86
"O75439;G3V0E4;B3KQ85;E7ERZ4","","+","",-0.04,0.73,0.69
"Q8TF01","+","","+",1.38,-0.15,1.23
"Q9H307;Q9H307-2","+","+","+",1.57,-0.74,0.82
"Q9NRX1;F8WBJ6","+","","+",0.85,0.73,1.58
"Q8TCS8","","+","+",0.36,0.72,1.08
"F8VUJ3;Q8N4A0","","+","",0.35,-1.02,-0.68
"F5GWY5;O00592;O00592-2;F5H3W1","","+","",-0.66,1.22,0.56
"Q8WVV4-1;Q8WVV4","+","+","",2.29,-1.5,0.78
"Q9H488;Q9H488-2","","","+",0.47,0.68,1.14
"Q9P215;G3V1P0","","","+",0.22,0.76,0.98
"Q8NBL1","","+","",-0.43,0.55,0.12
"A6NMQ1;P09884","","+","",0.06,0.51,0.57
"Q14181;B4DNB4","","+","+",-0.12,2.01,1.89
"P06746;E7EW18;H0YBJ0;E5RIJ0","+","","+",1,-0.09,0.91
"E7EVW0;P28340;H0Y3D1","","","+",0.4,0.39,0.79
"P49005;F8W8R3;C9JLE1;C9J8Z7;C9IZD2","","","+",0.4,0.64,1.04
"Q9Y2S7","+","+","+",0.45,0.51,0.95
"Q9NRF9","","","+",-0.32,1.71,1.39
"Q9UNA4","+","+","",1.65,-1.5,0.15
"O95602;B9ZVN9","+","","+",1.05,0.38,1.43
"F5GZX4;Q9H9Y6;Q9H9Y6-2;F8W898;F5H643","+","+","+",1,0.94,1.94
"O15160;O15160-2;E7EQB9;E9PBA4","+","","+",0.7,0.33,1.03
"Q9Y2S0","","+","",0.12,1.03,1.15
"Q9GZS1-2;Q9GZS1","+","+","+",1.3,0.97,2.27
"P24928","+","","",0.58,-0.21,0.37
"P19388","","+","+",0.12,0.89,1.01
"P52434;C9JLU1;C9JCU7;C9JBJ6;C9J413","","+","+",0.07,0.62,0.69
"P36954","+","","",1.64,-0.83,0.81
"E2QRJ6;Q9H1A6;P52435;Q9GZM3;A6NFM0;F6W009;Q9H1A7;E7EWC6;F8WF84;Q9GZM3-2;E7EP90;D6RAG0","+","+","",-0.63,0.74,0.12
"P53803;E5RGX2","","","+",0.37,1.13,1.5
"P62875","","+","+",-0.36,1.59,1.23
"P0CAP2;P0CAP2-3;Q9BZD3;P0CAP2-2","","","+",-0.58,-0.08,-0.66
"O14802;F5H7E9","+","","+",0.85,0.17,1.02
"Q9NW08;F5H1E6;F8VRE2","+","","+",0.48,0.23,0.71
"Q9BUI4;E9PHH9","+","","+",0.75,0.46,1.21
"P05423","","","+",0.78,0.12,0.9
"A8CG34;A8CG34-2","+","","+",2.07,-0.28,1.79
"Q9Y244","+","","",1.09,-0.86,0.23
"Q15063","+","","+",-2.29,-0.35,-2.64
"Q6S8J3","+","+","",-1.41,1.34,-0.07
"P14859-2;P14859;B4E029;P14859-4;H0YLB5;P14859-3","","","+",0.57,0.36,0.93
"Q15181;Q5SQT6","+","","+",0.78,0.22,0.99
"Q9H2U2;Q9H2U2-2;E2QRM6;Q9H2U2-3;F8WDN9;H0Y9D8","","+","",0.41,-0.87,-0.45
"C9J3F9;Q9NQ55;C9JW41;Q9NQ55-2;A8MV53","+","","+",1.35,0.13,1.48
"Q06203","","","+",0.43,0.48,0.91
"Q9HAB8","+","","",-0.84,0.3,-0.54
"Q13136;Q13136-2;E9PJZ7","+","+","",1.14,-0.77,0.37
"Q86W92;Q86W92-4","+","+","",1.01,-1.07,-0.06
"F8W0Q9;Q8NEY8-2;F8VPY7","+","","",1.33,-0.03,1.3
"Q567Q0","+","+","",-2.18,3.28,1.11
"P23284","+","+","+",-0.94,0.44,-0.5
"P45877","+","","",-0.74,-0.21,-0.94
"Q08752","+","+","+",0.37,0.44,0.82
"Q9UNP9;E9PEQ6;E9PEQ1","+","","+",0.58,0.18,0.77
"P30405;Q2YDB7;H0Y548","+","","",-0.4,0.26,-0.15
"Q13427;E9PG73;Q32LZ0;Q13427-2;C9JN15","+","","+",1.91,-0.79,1.12
"O43447;C9JQD4;A6NNE7;H0YEL5","","+","",-0.27,0.64,0.37
"Q6PFW1;Q6PFW1-2;B7WPL9;F8W9A8;Q6PFW1-3;Q6PFW1-4;Q6PFW1-7;Q6PFW1-5;Q6PFW1-6","+","","",-0.65,-0.11,-0.76
"O60437","+","","",1.73,-1.01,0.72
"O75688;O75688-2;Q4J6C1;C9JIR6;B8ZZF0;Q4J6C2","+","+","",-0.94,0.61,-0.33
"O15355;F5H7G7;Q59GB2","","+","+",0.51,0.74,1.25
"Q9ULR3","","+","+",0.46,1.01,1.46
"Q9Y570","","+","",-0.49,1.02,0.53
"Q96QC0;F5H5K4","+","","+",1.06,0.12,1.19
"O14974;F5H1B6;O14974-2;F8W9E8;F8VWB4","+","+","",0.68,-0.7,-0.03
"F8W8M3;O60237;O60237-4","+","+","+",-1.18,-1.68,-2.86
"Q9BZL4;Q9BZL4-4;B4DME2","","","+",-0.6,-0.39,-0.99
"Q96KQ4;H0YJL1;B3KN04;G3V5J1","","+","",0.15,-0.99,-0.84
"Q8WUF5","+","","",0.8,-0.11,0.69
"Q9UD71;E7ENN5;Q9UD71-2","","+","",0.23,-1.6,-1.37
"Q6ZMI0;Q6ZMI0-2;E1B6W7;Q6ZMI0-3;F2Z383","","+","+",0.34,-0.94,-0.6
"O95685","+","+","",-1.03,1.46,0.43
"Q15435;Q15435-2;C9JD73;Q15435-3;C9J177;B5MBZ8;C9JRC4","+","","",-0.34,0.27,-0.07
"E9PDX1;F8W7J9;E9PCK6;Q9ULJ8","+","","",0.87,-0.91,-0.05
"P30154-2;P30154;B4DWW5;F8W8G1;A8MY67","+","","",0.56,0.05,0.6
"P63151;B4E1T7","+","","",0.62,-0.41,0.21
"Q15257;B4DZF8;Q15257-3;Q5T948;Q5T949;Q15257-4","","+","",-0.48,0.71,0.23
"Q15172;B7Z7L2","","+","",0,-0.52,-0.53
"Q16537;B7ZKK9","+","","+",-0.83,0.02,-0.82
"F6U1T9","+","","",-0.49,0.22,-0.26
"P60510","+","","",0.56,-0.08,0.48
"Q9UPN7;B4DLT9","","","+",0.38,0.09,0.46
"Q6ICB0","","","+",1.11,0.81,1.93
"Q96BP3;F5H7P7;B4DWR9","+","","+",0.84,-0.05,0.79
"P04280;G3V1M9;G3V1R1;P02812","","","+",-1.32,-0.4,-1.71
"Q92733;E9PGC6;A6NG79","+","","",0.9,-0.42,0.49
"A8MU24;P42785;B7Z7Q6;E9PIG4;E9PKN6;E9PQN3;E9PL85;E9PQB5","+","","+",-1.57,0.43,-1.14
"Q13162;E9PEN3","+","+","+",-1.08,0.46,-0.61
"P30041","+","+","",-1.47,1.13,-0.34
"Q9HCU5;B5MC98","+","","",-0.85,0.64,-0.21
"P51888","+","","",-2.95,1.26,-1.69
"P13727;A6XMW0","+","","+",-2.12,-0.7,-2.81
"Q9Y2Y8","","","+",-1.18,-2.08,-3.25
"Q9BYK8;Q9BYK8-4;Q9BYK8-2","","+","+",-0.09,2.12,2.03
"P49642;F5H513;F8VNY2","","","+",0.27,0.85,1.12
"P49643","+","+","+",0.92,0.87,1.8
"Q13131-2;Q13131","+","+","+",0.4,-0.78,-0.38
"P17612;P17612-2","+","","",-1.42,0.97,-0.45
"P22694-2;B4DKB0;C9JK39;P22694-6;P22694-7;P22694-5;P22694;P22694-3;P22694-4;B1APG4;F8W831;B1APG3;P22694-8;B1APF9;B1APF8;B1APG2;B1APG0;B1APG1;B1APF7;B1APF6","+","+","+",-0.66,-0.72,-1.37
"P54619;B4DDT7;F8VYY9;F8W9D1;H0YIC9","+","","",-0.64,0.17,-0.47
"P10644","+","+","+",-0.77,-0.55,-1.33
"P31323;F5H1R5","+","","",-1.63,0.25,-1.38
"P17252","","+","+",-0.08,-0.91,-0.99
"P05771-2;P05771","+","","+",-0.68,-0.68,-1.36
"Q05655","+","","+",-0.49,-0.25,-0.74
"E9PIE3;Q969G5","+","+","+",-1.22,-0.68,-1.9
"P78527;P78527-2;E7EUY0","+","","+",0.56,0.41,0.96
"O75569;O75569-2;O75569-3;G5E9Q4","","+","+",0.02,0.65,0.67
"O43422;B4DS64;O43422-2","+","","",0.77,-0.59,0.18
"G5E9B6","","+","+",0.44,0.8,1.24
"O60678;F5GXU2;O60678-2","+","","+",1.35,0.6,1.95
"Q9UMS4","","+","+",0.15,0.47,0.62
"O43395;E7EVD1","+","","+",1.08,0.07,1.15
"Q8WWY3;E7EVX8;E7ESA8","","","+",0.34,0.19,0.53
"Q8NAV1","+","","+",1.65,-0.29,1.36
"Q5VTL8;Q5VTL8-2","+","","",1.13,-0.31,0.82
"O43172","+","","+",0.72,0.27,0.99
"O75400;O75400-2;F8W9L2;E9PHJ7","+","","+",1.43,-0.5,0.93
"Q13523;F5H2U2;H0YDJ3","+","","+",1.37,-0.12,1.25
"O94906","+","","+",1.14,-0.08,1.06
"Q6P2Q9","+","","+",1.25,-0.24,1.01
"P41219-2;P41219","+","","+",-2.95,0.88,-2.07
"P60891","+","+","",-1.16,1.66,0.51
"P11908","","+","",-0.32,1.02,0.7
"P48634","","","+",0.26,0.55,0.81
"Q5JSZ5;Q5JSZ5-5","+","","+",0.73,0.14,0.87
"Q9Y520-7;Q9Y520;E9PF21;Q9Y520-5;E7EPN9;Q9Y520-4;B7WNZ6;Q9Y520-6;Q9Y520-3;Q9Y520-2","+","","",0.59,0.05,0.64
"O95084;B4E2J3","","+","+",-0.65,1.91,1.27
"Q16651","","+","",-1.02,2.21,1.18
"Q8WUY3-3;Q8WUY3-2;Q8WUY3;Q8WUY3-4;E9PDC2","+","+","",1.39,-1.51,-0.12
"Q9Y617;Q9Y617-2","","+","+",0.32,1.31,1.63
"Q9NYI0;Q9NYI0-2;E5RJ29;B4DKF8","","+","",0.72,-1.55,-0.83
"O75475","","+","",-0.03,0.8,0.77
"P25788;P25788-2","+","+","",-0.48,0.35,-0.14
"O14818","+","+","",-0.23,0.39,0.16
"P20618","+","","",-0.59,0.56,-0.03
"P40306","+","","",-0.55,0.17,-0.38
"P49720","+","+","",-1.29,1.43,0.14
"P28074","+","+","",-1.15,0.98,-0.17
"P28062;Q5JNW7;B0UZC1;P28062-2","+","","",-0.43,0.39,-0.04
