"Majority.protein.IDs","t.test.Significant.A.N","t.test.Significant.C.A","t.test.Significant.C.N","Log.2..ratio.A.N","Log.2..ratio.C.A","Log.2..ratio.C.N"
"Q6W2J9;Q6W2J9-2;Q6W2J9-4;Q6W2J9-3;A1A564","+","","",1.38,-0.15,1.23
"Q02338;E9PCG9;C9K0G7;C9JQ90;C9JM78","","+","",0.18,-1.07,-0.89
"Q13867;E7EMN3","+","+","",-1.36,1.56,0.2
"Q14692","","","+",0.97,-0.08,0.89
"Q12981;Q12981-1;Q12981-2;Q12981-3","","+","+",0.02,-0.53,-0.51
"Q14137;Q96Q25","+","","+",1.77,-0.16,1.61
"Q86WA6;Q86WA6-2","+","","",1.18,-0.23,0.96
"Q9NP55;A6XMV5","+","","",-1.91,1.22,-0.69
"O95861;O95861-2;C9JI50;B4DUS9","+","+","",-0.51,0.73,0.22
"Q12830;Q12830-2;Q12830-4","+","","+",0.95,-0.04,0.91
"O95696-2;O95696;F5H6M9;C9IYC8","+","","+",0.5,0.18,0.67
"O60885;Q4G0X8;E7ESP5;O60885-2","+","","+",1.2,-0.05,1.15
"Q9H0E9-2;B5MCW3;Q9H0E9-4;Q9H0E9;F8W820","+","","+",0.39,0.32,0.71
"Q8WY22","","+","",-0.27,0.99,0.72
