Accession.No.,Gene.Symbol,UniProt,Log2.I.N,Log2.II.N
IPI00171903,HNRPM,Q7KYM9;Q9BWL9;Q9Y492;Q6P2D7;Q8WZ44;P52272;Q15584;Q59ES8;Q96H56;Q8TCM5,NA,1.95
IPI00456887,HNRPUL2,Q8N3B3;Q1KMD3,NA,1.5
IPI00478493,HP,Q6NSB4;Q0VAC5;Q3B7J0;Q0VAC4;Q6LBY9;Q2PP15;Q9ULB0;Q92659;Q92658;Q7LE20;Q6PEJ8;P00739;P00738;Q9UC67;B0AZL5;P00737;Q14552,-2.24,-1.15
IPI00019912,HSD17B4,P51659;Q59H27;Q9UBA4,NA,1.05
IPI00382470,HSP90AA1,Q86U12;P07900;Q5CAQ6;Q8TBA7;B3KPJ9;Q2PP14;Q2VPJ6;Q96HX7;Q5CAQ7;A8K500;Q86SX1;Q14568;Q9BVQ5,1.91,2.7
IPI00334775,HSP90AB1,NA,2.1,2.33
IPI00455599,HSP90AB2P,NA,2.29,2.36
IPI00304925,HSPA1B,Q9UQC1;P08107;Q5JQI4;Q59EJ3;Q5SP17;Q9UQL9;B3KTT5;P19790;Q9UQM0;A8K5I0,0.22,NA
IPI00002966,HSPA4,P34932;Q9BUK9;Q2TAL4;Q7KYN0;O95756;Q59GF8,NA,1.57
IPI00003362,HSPA5,B0QZ61;Q9NPF1;Q2EF78;P11021;Q2KHP4;Q9UK02,0.73,0.73
IPI00003865,HSPA8,B3KTV0;Q96IS6;P11142;Q9NZ87;Q53HF2;Q9H3R6;Q96BE0;Q96H53;Q9NWW3;Q53GZ6,1.3,1.67
