"UniProt Accession","Primary Gene","LoS log2 FC","HiS log2 FC","LoT log2 FC","HiT log2 FC","Signif. LoS","Signif. HiS","Signif. LoT","Signif. HiT"
D4GW69,trxB3,-0.399,0.198,-0.936,2.325,1,0,1,1
D4GW91,pchA1,0.23,0.315,-0.123,0.648,0,0,0,1
D4GWA2,HVO_2747,-0.203,-1.322,-1.585,1.499,0,1,1,1
D4GWA4,hcpD,-1.047,-0.047,-0.538,1.175,1,0,0,1
D4GWB4,HVO_1150,0.098,0.728,0.029,1.132,0,1,0,1
D4GWD0,HVO_1164,-0.119,-0.178,-0.712,0.406,0,0,1,1
D4GWD4,HVO_2306,-0.092,0.312,-0.321,0.747,0,1,1,1
D4GWD6,moeA2,0.152,0.536,0.085,0.772,0,1,0,1
D4GWE2,cad,-0.335,1.003,-0.224,0.952,1,1,0,1
D4GWE7,sirC,-0.126,-0.029,-0.646,1.428,0,0,0,1
D4GWE9,ahbB,-0.408,0.109,-0.922,0.813,1,0,1,1
D4GWG5,dnaG,-0.263,-0.176,-0.316,0.234,1,0,1,1
D4GWG7,moeA1,-0.147,0.155,-0.161,0.438,0,0,1,1
D4GWG8,HVO_2322,-0.512,-0.086,-0.934,0.401,1,0,1,1
D4GWH4,HVO_2325,0.046,-0.322,-0.521,1.33,0,1,1,1
D4GWI5,pdxS,0.009,1.334,0.721,1.282,0,1,1,1
D4GWK2,HVO_2354,-0.859,0.296,-1.597,2.027,0,0,1,1
D4GWL4,HVO_2366,-0.433,0.071,-0.375,0.477,1,0,1,1
D4GWL6,HVO_2368,-0.341,-0.211,0.02,0.553,0,0,0,1
D4GWL8,HVO_2370,-0.882,0.039,-0.386,0.235,1,0,1,1
D4GWM7,phoU3,-0.086,-0.55,-0.158,1.107,0,1,1,1
D4GWM9,HVO_2381,0.273,0.374,-0.176,1.456,0,0,0,1
D4GWN2,HVO_2384,-0.613,0.082,-1.303,0.665,0,0,1,1
D4GWN7,hadL,-1.488,-0.242,-1.486,0.165,1,0,1,0
D4GWP2,pduO,-0.279,0.245,-0.333,0.693,0,0,0,1
D4GWS0,HVO_1169,-0.171,-0.297,-0.343,-0.031,0,1,1,0
D4GWS2,HVO_1171,-0.106,0.136,-0.261,0.902,0,0,0,1
D4GWS8,HVO_1177,0.006,-0.11,-0.719,0.491,0,0,1,1
D4GWT0,HVO_1179,-0.194,-0.068,-0.096,0.78,0,0,0,1
D4GWU2,HVO_1187,0.175,0.291,-1.306,1.13,1,1,1,1
D4GWU3,HVO_2763,-0.011,1.047,0.452,1.571,0,1,1,1
D4GWW0,HVO_1198,-0.106,0.759,-0.248,1.305,0,1,0,1
D4GWW1,HVO_2770,0.625,0.635,0.446,1.884,1,1,1,1
D4GWX0,eno,-0.111,-0.091,-0.149,0.34,1,0,1,1
D4GX27,cre2,-0.469,-0.33,-1.461,0.768,1,1,1,1
D4GX36,HVO_1240,0.071,0.054,-0.221,0.802,0,0,1,1
D4GX43,HVO_1242,-0.076,0.302,-0.565,0.611,0,0,1,1
D4GX46,trxA4,-0.643,0.042,-0.461,1.667,0,0,0,1
D4GX53,HVO_1250,0.091,0.856,-0.3,1.059,0,1,0,1
D4GX63,HVO_1256,-0.65,-0.542,-1.348,0.451,0,0,1,0
D4GX88,HVO_1271,-0.178,0.164,0.411,0.813,0,0,1,1
D4GX90,HVO_1272,0.046,-0.077,-0.562,0.819,0,0,1,1
D4GXF5,aroA,-0.348,-0.038,-0.056,0.378,0,0,0,1
D4GXI7,cdc48c,-0.377,0.126,-1.019,0.365,1,0,1,1
D4GXL8,trxA2,-0.316,-0.403,-0.854,0.94,1,1,1,1
D4GXM1,HVO_1344,-0.587,-0.642,-1.276,0.282,1,1,1,1
D4GXP5,fumC,-0.206,-0.504,-0.515,0.512,1,1,1,1
D4GXR6,HVO_1368,-0.216,-0.053,-1.372,1.47,0,0,1,1
D4GXT2,hts,-0.493,-0.157,-0.54,0.257,1,0,1,1
D4GXU0,HVO_1381,0.176,0.381,-0.132,0.866,1,1,0,1
D4GXV4,HVO_1389,-0.389,-0.578,-0.494,0.558,1,1,1,1
D4GXX9,HVO_1405,0.102,-0.528,-0.836,0.692,0,1,1,1
D4GXZ5,ndh2,-0.193,-0.093,-0.724,0.862,0,0,1,1
D4GY36,serA3,-0.173,0.267,0.005,0.956,1,0,0,1
D4GY37,HVO_1438,0.149,-0.231,-0.808,2.26,0,0,1,1
D4GYB9,HVO_3009,0.479,0.627,-0.137,1.748,1,1,0,1
D4GYC1,HVO_1481,0.285,0.416,-0.856,2.043,1,0,1,1
D4GYD0,HVO_1485,-0.849,-0.483,-1.046,1.041,1,0,1,1
D4GYE2,ptsI,-0.598,-0.893,-1.282,0.421,1,1,1,1
D4GYF9,HVO_1513,-0.144,0.382,-1.014,1.028,0,1,1,1
D4GYG0,HVO_1514,-0.093,-0.209,-0.6,0.972,0,0,0,1
D4GYI0,HVO_1536,-0.471,-0.685,-1.204,0.154,1,1,1,0
D4GYI9,dhaL,0.311,-0.258,-0.378,0.492,1,1,1,1
D4GYJ6,HVO_1552,0.103,-0.67,-0.758,0.751,0,1,1,1
D4GYK0,HVO_0004,-0.102,-0.127,-0.402,0.985,0,0,1,1
D4GYK3,lysC,-0.054,0.07,-0.082,0.55,0,0,0,1
D4GYK6,HVO_0010,-0.861,0.159,-2.166,1.892,1,0,1,1
D4GYL9,tssA2,-0.497,-0.455,-0.762,0.668,1,1,1,1
D4GYM0,tssA1,-0.356,0.458,-0.189,0.547,1,1,1,1
D4GYM8,HVO_0033,-1.09,0.903,-1.361,0.751,1,1,1,1
D4GYR2,HVO_0067,0.407,-0.273,-2.237,1.853,1,0,1,1
D4GYS6,hemL,-0.045,0.072,-0.63,0.583,0,0,1,1
D4GYT2,hemB,0.126,-0.383,-0.497,0.91,0,1,1,1
D4GYU7,gptA1,-0.417,-0.385,-1.632,1.387,0,0,1,1
D4GYV5,sufS1,0.374,0.26,-0.205,1.175,1,0,0,1
D4GYW0,ligT,-0.785,-1.071,-1.245,0.442,1,1,1,0
D4GYX5,HVO_0129,-1.816,-1.703,-1.846,-0.609,1,1,1,0
D4GYY0,HVO_0134,-0.079,-0.235,-0.248,0.258,0,0,1,1
D4GYY1,rio1,-0.124,-0.24,-0.441,0.835,0,0,1,1
D4GYZ7,HVO_1568,-0.286,0.184,-0.978,1.107,1,1,1,1
D4GYZ9,top6A,0.027,-0.253,-0.384,1.074,0,1,1,1
D4GZ00,top6B,0.395,0.202,0.081,1.169,1,1,0,1
D4GZ04,rocF,-0.124,-0.067,-0.473,0.876,1,1,1,1
D4GZ13,HVO_1584,-1.101,-0.987,-1.37,0.847,1,1,1,1
D4GZ16,HVO_1587,-0.246,-0.511,-1.033,0.312,0,1,1,0
D4GZ22,HVO_1593,0.061,0.105,-1.091,1.469,0,0,1,1
D4GZ28,HVO_1599,-0.577,-0.782,0.366,3.96,0,0,0,1
D4GZ45,HVO_1616,-0.171,-0.883,-1.038,0.362,1,1,1,1
D4GZ61,HVO_1632,-1.667,0.107,-1.064,1.248,0,0,0,1
D4GZ78,ppk1,0.522,0.327,0.053,0.428,1,1,0,1
D4GZB9,pcnA,-0.902,-0.439,-0.671,0.153,1,1,1,0
D4GZC3,HVO_0179,0.099,0.853,-0.793,0.955,0,1,1,1
D4GZD2,HVO_0188,0.211,0.055,-0.069,0.989,0,0,0,1
D4GZD8,orc9,-0.128,0.364,-0.229,1.2,0,1,0,1
D4GZF8,dpsA2,-0.518,-0.971,-0.933,1.931,0,1,1,1
D4GZF9,HVO_0214,0.062,-0.096,-0.62,1.448,0,0,1,1
D4GZH9,HVO_0234,-0.524,0.745,-0.716,1.007,1,1,1,1
D4GZI9,HVO_0244,-0.176,-0.37,-0.222,0.606,0,0,0,1
D4GZJ7,bcp2,-0.62,0.31,-0.763,0.746,1,0,1,1
D4GZJ8,yrdC,0.329,-1.773,-1.818,0.907,1,1,1,1
D4GZK0,HVO_0255,-0.13,-0.518,-1.3,0.682,0,0,1,0
D4GZM5,HVO_1660,0.049,0.219,0.101,0.52,0,1,0,1
D4GZN7,HVO_1673,-0.372,-0.756,-1.327,0.158,0,1,1,0
D4GZP1,HVO_1677,-1.904,-1.279,-1.544,0.958,1,1,1,1
D4GZP2,tif2b1,0.311,-0.593,-2.118,1.278,1,1,1,1
D4GZP4,HVO_1680,-0.688,0.388,-1.11,1.793,1,0,1,1
D4GZP9,HVO_1685,-0.054,-0.019,-0.92,0.825,0,0,1,1
D4GZR8,HVO_0289,-1.043,-0.154,-0.333,0.118,1,0,0,0
D4H024,HVO_0398,-1.027,-1.538,-1.864,0.618,1,1,1,1
D4H057,HVO_1712,0.502,0.192,-0.262,1.102,0,0,0,1
D4H068,HVO_1724,-0.178,-0.141,-0.87,1.922,0,0,1,1
D4H091,HVO_1752,-1.084,-0.967,-1.099,-0.041,1,1,1,0
D4H0A7,parA1,0.259,0.056,-0.35,0.433,0,0,1,1
O30560,ths2,0.89,0.79,-0.712,1.312,1,1,1,1
P18285,trpB,-0.868,-0.715,-1.853,2.477,0,0,1,1
P18304,trpC,-1.588,-1.659,-3.184,2.66,0,1,1,1
P33974,trpG,-0.834,-0.605,-1.415,2.255,0,0,1,1
P33975,trpE,-1.955,-1.04,-3.035,3.239,1,0,1,1
P52562,trpD1,-0.954,-0.461,-1.326,3.058,0,0,0,1
P52563,trpF,-2.362,-2.029,-2.277,3.088,1,0,1,1
Q1XBW2,dnaK,-0.282,-0.006,-0.779,0.491,1,0,1,1
A0A1C9J6T3,HVO_0379B,-1.884,0.08,0.139,-3.97,1,0,0,1
D4GP04,HVO_B0003,0.596,1.5,0.691,-0.609,0,1,0,0
D4GP05,glyA2,-0.832,0.772,-0.091,-1.144,0,0,0,1
D4GP30,HVO_B0029,-0.168,0.067,-0.325,-0.715,0,0,0,1
D4GP50,cbiE,0.218,0.798,0.681,-1.835,1,1,1,1
D4GP51,cbiC,0.205,0.389,0.402,-1.523,0,1,1,1
D4GP52,cobN,0.414,0.244,0.31,-1.059,1,1,1,1
D4GP53,chlID,-0.295,-0.27,-0.3,-2.092,1,1,0,1
D4GP54,HVO_B0052,-0.15,1.055,0.525,-1.89,0,1,1,1
D4GP56,cbiX1,0.392,0.058,0.577,-1.814,1,0,1,1
D4GP57,HVO_B0055,0.049,0.025,0.424,-3.161,0,0,1,1
D4GP59,cbiH2,-0.132,-0.195,0.658,-1.9,0,0,1,1
D4GP60,cbiH1,0.173,0.261,0.811,-0.878,0,0,1,1
D4GP61,cbiG,0.117,0.481,0.687,-2.93,0,1,1,1
D4GP62,cbiF,0.076,-0.078,0.45,-0.843,0,0,1,1
D4GP63,cbiL,0.018,0.077,0.512,-1.326,0,0,1,1
D4GP95,dppA12,-0.16,0.234,0.741,-1.126,0,0,1,1
D4GP98,HVO_B0096,-0.16,1.302,1.507,-0.206,0,1,1,0
D4GPA2,aldH3,-0.175,0.173,1.097,-1.372,0,0,1,1
D4GPA8,tsgA8,0.143,1.98,2.137,0.284,0,1,1,0
D4GPB4,HVO_B0113,-0.854,0.114,0.802,-0.512,1,0,1,1
D4GPB5,HVO_B0114,-0.113,0.418,0.635,-1.125,0,1,1,1
D4GPB6,HVO_B0115,0.137,0.696,1.063,-0.448,0,1,1,0
D4GPD3,HVO_B0132,0.019,1.605,0.345,-0.05,0,1,0,0
D4GPF0,ohyA,-0.35,-0.099,-0.252,-0.839,0,0,0,1
D4GPF4,HVO_B0153,-0.728,0.352,0.171,-0.992,1,0,0,1
D4GPI5,dppA14,-0.152,0.684,0.446,-0.875,0,1,1,1
D4GPI7,dppC14,-0.687,-1.356,-0.885,-1.826,1,1,1,1
D4GPK3,HVO_B0202,-0.872,0.006,-0.141,-1.223,1,0,0,1
D4GPL8,livJ6,-1.208,1.245,2.554,-0.588,0,1,1,0
D4GPN4,xsa,0.097,0.125,1.299,-1.165,0,0,1,1
D4GPQ4,HVO_B0257,-0.112,1.321,-0.003,0.001,0,1,0,0
D4GPQ8,HVO_B0261,-1.121,0.401,0.259,-0.797,1,0,0,0
D4GPR3,gdhA3,0.46,0.319,1.196,-0.564,1,1,1,1
D4GPS0,HVO_B0273,-0.237,0.919,1.239,-1.256,0,1,1,1
D4GPV2,HVO_B0305,-0.853,0.728,1.839,-1.406,1,1,1,1
D4GQ01,HVO_B0354,-1.447,0.317,0.52,-1.253,1,0,1,1
D4GQ05,HVO_B0358,0.226,2.599,1.346,-1.147,0,1,1,1
D4GQ41,HVO_A0009,0.319,0.758,0.324,-0.881,0,1,0,1
D4GQ77,htpX3,-0.557,0.449,0.611,-0.968,0,0,1,1
D4GQC2,gdoA,-1.286,-1.286,-0.905,-1.992,1,1,1,1
D4GQC5,HVO_A0093,0.039,0.263,0.648,-0.543,0,0,1,0
D4GQC7,HVO_A0095,-0.893,-0.351,0.33,-2.112,0,0,0,1
D4GQC9,hbd2,-0.282,0.445,1.197,-0.948,0,0,1,1
D4GQG9,HVO_A0140,0.811,-0.617,0.435,-1.88,1,1,1,1
D4GQN6,cas7,0.244,1.209,0.709,0.137,0,1,0,0
D4GQQ7,surE2,-0.301,-0.608,-0.063,-0.637,0,1,0,0
D4GQT6,orc7,0.142,0.858,-0,-0.31,0,1,0,0
D4GQU7,glpB2,-0.393,0.391,0.516,-1.007,0,0,1,1
D4GQU9,HVO_A0272,-0.315,3.026,2.794,-0.737,0,1,1,1
D4GQV3,HVO_A0276,0.193,0.481,0.827,-1.037,0,1,1,1
D4GQV7,HVO_A0280,-0.662,0.587,0.508,-1.081,1,1,1,1
D4GQW0,tsgA5,-0.704,1.752,3.348,-0.825,1,1,1,1
D4GQW4,HVO_A0287,-0.551,0.695,2.727,-0.684,1,1,1,1
D4GQW5,HVO_A0288,-1.128,1.069,1.881,-0.629,1,1,1,1
D4GQW6,ridA4,-1.083,1.673,3.819,0.626,0,1,1,0
D4GR12,HVO_A0335,-0.673,1.257,1.394,-0.457,0,1,1,1
D4GR38,HVO_A0369,-0.273,0,-0.177,-1.346,0,0,0,1
D4GR46,hyuB2,-0.665,1.093,0.719,-0.359,1,1,1,1
D4GR47,hyuA2,-0.777,1.122,0.73,-0.631,1,1,1,1
D4GR48,dppA8,-0.458,0.475,0.859,-0.326,0,0,1,0
D4GR72,HVO_A0406,-0.549,1.113,0.39,-1.541,0,1,0,1
D4GR88,dppF9,0.536,0.968,1.27,-1.446,0,0,1,1
D4GR89,dppD9,-2.166,-0.458,-0.548,-2.288,1,0,0,1
D4GR95,HVO_A0430,-0.322,0.083,0.162,-1.001,0,0,0,1
D4GR98,HVO_A0432,-1.285,0.391,-0.142,-2.432,0,0,0,1
D4GRE1,HVO_A0476,-0.105,-0.69,-0.447,-1.256,0,1,1,1
D4GRF1,cobA,-0.001,0.197,0.826,-1.406,0,0,1,1
D4GRG3,mtfK1,-0.875,-0.462,1.011,-2.622,1,1,1,1
D4GRG5,HVO_A0503,-0.127,-0.466,0.526,-1.155,0,1,1,1
D4GRH4,aldH4,-1.243,1.175,0.65,-0.554,1,0,0,0
D4GRL5,HVO_A0554,-2.348,-1.601,-2.073,-3.809,1,1,1,1
D4GRM2,hutG,-0.025,2.677,-0.088,-0.864,0,1,0,1
D4GRP7,htlD3,-0.945,0.686,2.096,-1.106,0,0,1,1
D4GRT2,cadA,-0.075,0.179,0.068,-0.624,0,1,1,1
D4GRT9,HVO_A0631,-0.169,0.265,-0.219,-1.453,0,1,1,1
D4GRU4,ybaK,-0.13,-0.736,-0.682,-1.216,0,1,1,1
D4GRU7,aubA,0.256,0.698,1.342,-0.311,0,1,1,0
D4GRV6,uvrD,-0.417,0.005,0.584,-1.818,1,0,1,1
D4GRW5,HVO_0424,-0.309,-0.127,-0.102,-0.818,1,0,0,1
D4GRW6,HVO_0425,-0.916,0.027,-0.131,-1.833,1,0,0,1
D4GRX8,secG,-0.571,-0.364,-0.94,-1.954,1,1,1,1
D4GRY6,phnE1,-1.152,-0.412,-0.787,-2.362,1,0,1,1
D4GRY7,phnC1,-0.448,0.765,0.368,-1.607,1,1,0,1
D4GRZ3,leuS,0.29,0.004,0.573,-0.6,1,0,1,1
D4GS09,HVO_0469,-0.133,0.37,1.075,-0.044,0,0,1,0
D4GS33,HVO_0493,-0.235,-0.675,-0.73,-1.675,0,0,1,1
D4GS43,HVO_0506,0.02,0.247,0.387,-0.207,0,0,1,0
D4GS55,rpa2,0.196,-0.332,0.1,-0.739,1,1,1,1
D4GS63,tsgA1,-0.256,1.158,1.052,-0.597,0,1,1,1
D4GS64,tsgB1,-1.714,-0.051,-0.116,-1.875,1,0,0,1
D4GS65,tsgC1,-1.375,0.76,0.366,-2.254,1,0,0,1
D4GS66,tsgD1,-0.465,1.085,1.039,-1.69,1,1,1,1
D4GSB2,nirA1,-0.005,1.063,0.942,-2.008,0,1,1,1
D4GSC1,HVO_1797,-0.411,-0.757,-0.267,-1.065,0,1,0,1
D4GSC7,HVO_1803,-0.199,-0.058,-0.422,-1.07,0,0,1,1
D4GSC8,pncB,-0.356,0.059,0.654,-0.721,1,0,1,1
D4GSE0,pyrC,-0.478,-0.243,1.162,-1.419,1,0,1,1
D4GSF0,basB,-0.748,-0.677,0.469,-1.607,0,1,0,1
D4GSF6,rpl15e,0.015,0.34,0.409,-0.854,0,1,1,1
D4GSG0,malK,-0.351,-0.169,-0.635,-1.454,1,0,1,1
D4GSG1,HVO_0566,-1.057,-0.591,0.167,-1.89,1,0,0,1
D4GSG8,apn1,-0.28,0.184,2.144,-1.254,0,0,1,1
D4GSH7,ftsZ2,-0.044,0.869,0.032,-0.904,0,1,0,1
D4GSI0,HVO_0585,0.031,0.801,0.272,-1.086,0,1,0,1
D4GSI5,cobT,-0.283,-0.819,-0.74,-2.438,1,1,1,1
D4GSI6,cobD1,-0.803,-0.949,-0.5,-1.595,1,1,0,1
D4GSJ0,minD2,-0.472,0.283,-0.192,-2.302,1,1,0,1
D4GSJ5,HVO_0600,-1.008,-1.064,-0.363,-1.905,1,1,0,1
D4GSJ6,hom2,-1.849,-0.978,-0.559,-2.487,1,1,1,1
D4GSM3,dppDF2,-0.898,0.623,1.3,-1.705,1,1,1,1
D4GSM4,dppA2,0.337,1.398,1.773,-0.176,0,1,1,0
D4GSM7,dppC2,-0.262,1.086,1.104,-0.346,0,1,1,0
D4GSM9,HVO_2425,0.48,0.359,0.536,-0.716,1,1,1,1
D4GSN1,rfcB,0.058,0.063,0.087,-0.48,0,0,0,1
D4GSQ8,HVO_0648,-0.756,0.192,-0.713,-1.552,1,0,1,1
D4GSR4,rpl43e,-0.319,-0.887,-0.56,-1.404,1,0,1,1
D4GSR6,HVO_0656,-0.064,-0.387,0.067,-0.5,0,1,0,1
D4GSR8,truD,-0.388,-0.415,0.611,-1.19,1,1,1,1
D4GSS5,thi4,-0.292,0.553,-0.373,-0.899,0,1,0,1
D4GSV2,ywaD2,-0.383,-0.085,-0.337,-0.953,0,0,0,1
D4GSW2,HVO_1859,-0.635,-0.542,-0.647,-1.552,1,1,1,1
D4GSW4,thiL,-0.006,-0.754,-0.058,-0.984,0,1,0,1
D4GSX0,lysS,0.189,0.17,0.433,-0.832,1,0,1,1
D4GSX3,HVO_1870,-0.577,-0.817,-0.837,-1.505,1,1,1,1
D4GSX7,HVO_1874,0.248,0.627,0.137,-1.647,0,1,0,1
D4GSY2,HVO_1880,-0.022,0.219,0.36,-1.211,0,1,1,1
D4GT09,aspS,0.089,0.014,-0.112,-0.452,0,0,1,1
D4GT16,pcrB1,0.254,-0.139,0.596,-1.025,1,0,1,1
D4GT17,HVO_2447,0.077,-0.023,0.386,-1.127,0,0,1,1
D4GT18,mrr,-0.499,1.122,0.815,-1.517,0,1,1,1
D4GT44,HVO_0697,-0.1,0.46,1.07,-0.477,0,1,1,0
D4GT46,tif2a,-0.327,-0.415,0.347,-0.908,1,1,1,1
D4GT81,secE,-0.086,-0.056,-0.134,-1.334,0,0,0,1
D4GTA0,HVO_0731,-0.161,-1.048,0.536,-1.891,0,1,1,1
D4GTA1,HVO_2482,0.555,1.962,0.048,-0.21,0,1,0,0
D4GTB2,HVO_0739,-0.415,0.238,-0.069,-1.22,0,0,0,1
D4GTD3,HVO_1900,-0.657,-0.468,0.526,-1.937,1,1,1,1
D4GTD5,HVO_1902,0.134,-0.801,0.228,-1.505,0,0,0,1
D4GTE3,acaB3,-0.283,0.424,1.115,-0.238,0,1,1,0
D4GTE9,HVO_1920,-1.023,0.59,0.073,-1.709,1,1,0,1
D4GTI4,citB1,0.155,0.018,-0.145,-0.663,1,0,1,1
D4GTI5,dut,-0.467,-0.764,-0.382,-1.503,1,1,1,1
D4GTK9,HVO_1980,-0.35,-0.219,-0.139,-1.322,0,0,0,1
D4GTL0,HVO_1981,-0.945,-0.598,-0.608,-2.942,1,1,1,1
D4GTL6,sppA2,-0.569,1.845,0.089,-0.871,1,1,0,1
D4GTN6,arcS,-0.309,-0.669,0.072,-1.08,1,1,0,1
D4GTP6,HVO_0755,-0.16,-0.226,0.305,-0.752,0,0,1,1
D4GTQ8,HVO_0763,1.517,0.286,-0.742,-3.798,1,0,0,1
D4GTR8,HVO_0768,0.124,0.203,0.491,-1.711,0,0,1,1
D4GTS3,HVO_2504,-0.209,-0.848,-0.205,-1.877,1,1,1,1
D4GTS6,idiA,0.425,0.522,1.593,-1.25,1,1,1,1
D4GTS8,HVO_0773,-0.228,0.194,0.078,-0.8,0,0,0,1
D4GTS9,HVO_0774,-1.419,-0.473,-0.482,-2.081,1,0,0,1
D4GTU0,carA,0.305,2.147,1.641,-1.405,0,1,1,1
D4GTU2,HVO_2510,0.041,0.66,0.403,-0.459,0,1,1,0
D4GTW3,HVO_2530,-0.297,0.097,0.24,-1.077,0,0,0,1
D4GTX1,HVO_2539,-0.139,0.266,-0.083,-1.547,0,1,0,1
D4GTX4,rpl15,-0.136,-0.094,0.083,-1.065,1,1,1,1
D4GTX6,rps5,-0.7,-0.59,-0.628,-1.557,1,1,1,1
D4GTX9,rpl32e,-0.03,-0.013,0.118,-1.035,0,0,1,1
D4GTY1,rps8,-0.448,-0.377,-0.341,-1.454,1,1,1,1
D4GTY4,rps4e,-0.329,-0.28,-0.281,-1.153,1,1,1,1
D4GTY6,rpl14,-0.475,-0.391,-0.501,-1.68,1,1,1,1
D4GTY7,rps17,-0.719,-0.496,-0.364,-1.46,1,1,1,1
D4GTZ2,rps19,-0.302,-0.248,-0.119,-1.038,1,1,0,1
D4GTZ5,rpl4,-1.071,-0.89,-0.948,-2.104,1,1,1,1
D4GTZ6,rpl3,0.116,0.261,0.482,-0.839,0,1,1,1
D4GU24,aroB,0.053,-0.151,0.073,-0.152,0,1,0,1
D4GU44,tsgA12,-1.284,0.906,1.553,-0.522,1,1,1,1
D4GU45,tsgD12,-0.387,-0.972,-0.055,-1.656,0,1,0,1
D4GU47,tsgC12,-0.011,-0.034,-0.424,-2.25,0,0,0,1
D4GU60,agl7,-1.19,0.399,0.19,-1.921,1,1,0,1
D4GU61,HVO_2047,-1.398,0.512,0.216,-0.94,1,0,0,1
D4GU63,agl10,-0.244,1.135,0.153,-0.337,0,1,0,0
D4GU66,agl5,-0.957,0.351,0.209,-1.707,1,0,0,1
D4GU74,agl6,-0.166,0.654,0.152,-1.471,0,1,0,1
D4GU81,cetZ6,1.215,0.608,1.168,-1.625,1,1,1,1
D4GU95,tfb6,0.287,-0.424,0.95,-2.379,1,1,1,1
D4GU99,HVO_0797,-0.367,-1.156,-0.268,-1.203,1,1,1,1
D4GUA0,aglD,-0.517,-0.342,-0.324,-2.254,1,0,1,1
D4GUC6,HVO_2604,-0.903,0.555,1.226,-1.125,1,0,1,1
D4GUC8,HVO_2605,-0.149,-0.653,-0.244,-2.184,0,1,0,1
D4GUE8,HVO_0821,0.749,0.792,1.513,-1.34,1,1,1,1
D4GUG3,HVO_0829,-0.489,0.43,0.988,0.147,0,1,1,0
D4GUG6,pyrG,-0.07,-0.074,0.056,-0.554,0,0,0,1
D4GUH5,ywaD1,-0.041,-0.51,0.169,-0.949,0,1,1,1
D4GUI1,petD,0.549,0.5,0.02,-0.185,1,1,0,0
D4GUJ7,panA,0.353,0.525,0.255,-0.172,1,1,1,1
D4GUK5,polB1,-0.034,0.173,0.815,-1.554,0,0,1,1
D4GUL4,HVO_0867,-0.311,-0.141,-0.131,-0.67,1,1,1,1
D4GUL5,HVO_0868,0.417,0.844,1.057,-1.629,1,1,1,1
D4GUM8,HVO_2080,-0.218,0.178,-0.271,-1.38,1,0,1,1
D4GUN1,HVO_2083,0.221,1.441,0.627,0.022,0,1,1,0
D4GUN8,HVO_2091,-1.49,1.389,-0.267,-1.99,1,1,1,1
D4GUP8,ptsH3,-0.162,0.496,0.545,-0.272,0,1,1,0
D4GUQ3,HVO_2106,-0.35,0.775,2.004,-0.084,0,1,1,0
D4GUR1,HVO_2114,-1.539,2.124,2.725,-1.439,1,1,1,1
D4GUS3,dppA4,-0.774,0.169,3.662,-1.265,1,0,1,1
D4GUS7,HVO_2130,-0.889,-0.127,-0.92,-2.43,1,0,1,1
D4GUT0,orc16,-1.233,-0.485,0.092,-1.994,1,0,0,1
D4GUU6,HVO_0879,-0.207,0.024,0.631,-2.295,0,0,1,1
D4GUW1,acs1,-0.299,1.187,0.714,-0.465,1,1,1,1
D4GUY1,moaB,-0.722,0.271,0.122,-0.624,1,0,0,1
D4GUY6,coxA1,-0.564,-0.919,-1.082,-1.869,1,1,1,1
D4GUY7,HVO_0908,0.057,0.688,1.46,-0.139,0,0,1,0
D4GUZ4,artA,-0.585,-0.834,-0.591,-1.99,0,1,1,1
D4GV29,HVO_2661,-0.304,-0.206,-0.543,-1.439,1,1,1,1
D4GV47,HVO_2671,0.221,1.095,0.252,0.064,0,1,1,0
D4GV61,HVO_0954,-0.678,-0.244,-0.54,-1.469,1,1,1,1
D4GV78,hel308b,-0.589,-0.033,0.224,-1.207,0,0,0,1
D4GV87,thiC,-0.051,0.862,1.07,0.13,0,1,1,0
D4GV91,maeB1,-1.084,0.587,0.833,-1.912,1,1,1,1
D4GVA9,HVO_2176,0.031,0.034,1.124,-1.917,0,0,1,1
D4GVB6,aor4,-0.307,-0.13,-0.209,-0.873,1,1,1,1
D4GVC0,HVO_2187,0.255,-0.083,0.689,-0.55,1,0,1,1
D4GVC1,purQ,-0.087,0.64,1.157,-0.829,0,1,1,1
D4GVC2,purS,-0.286,0.198,1.153,-1.413,0,0,1,1
D4GVC3,HVO_2190,0.655,1.106,-0.587,-0.591,0,1,0,0
D4GVC7,sir2,0.057,-0.989,-0.086,-2.41,0,1,0,1
D4GVD4,cofG,-0.612,-0.361,-0.73,-1.561,1,0,1,1
D4GVE6,HVO_2213,-0.307,-0.588,-0.472,-1.625,1,1,1,1
D4GVF1,ribH,-0.443,-0.242,-0.479,-0.772,1,1,1,1
D4GVF2,HVO_0975,0.248,-0.373,0.68,-1.038,0,0,1,1
D4GVF3,purK,0.315,1.093,2.26,-0.46,0,0,1,0
D4GVF7,nuoCD1,-0.368,-0.196,-0.486,-1.225,1,1,1,1
D4GVF9,nuoI,-0.22,-0.417,-0.579,-0.959,1,1,1,1
D4GVH4,pepQ1,-0.061,0.002,0.522,-2.162,0,0,1,1
D4GVJ7,HVO_1020,-0.448,-0.276,-0.5,-0.902,1,1,1,1
D4GVL7,HVO_1041,-0.314,-0.914,-0.732,-1.908,1,1,1,1
D4GVM4,purL,0.177,0.662,1.16,-0.523,0,1,1,1
D4GVM6,asnB,-0.124,0.011,-0.127,-1.351,0,0,1,1
D4GVP4,coaBC,-1.004,0.601,-0.151,-1.582,1,1,0,1
D4GVQ7,mrpA,-0.589,-0.574,-0.556,-1.466,0,0,0,1
D4GVR3,tsgC3,-1.111,-0.934,-1.101,-2.577,1,1,1,1
